simple_sentence,truth_value
"Biden: Zelenskyy should decide for himself whether to stay in Ukraine .
",meter-true
"Biden has no intention of sending US troops to Ukraine, said First Deputy Secretary of State Sherman..
",meter-true
"Roskomnadzor reported that it restricted access to The Village website for publishing inaccurate information on the operation in Ukraine.Roskomnadzor publishing inaccurate information on the operation in Ukraine.
",meter-true
"The Ukrainian delegation left Kyiv  they will be there starting tomorrow morning . The Ukrainian delegation is on the way now  they will be there starting tomorrow morning . .
",meter-true
"Medynskyi: Russia has found an understanding with Ukraine in a number of areas .
",meter-true
"Tokayev agreed   on cooperation between Kazakhstan   the press service of the Kazakh leader reports . Tokayev agreed   on Ukraine in the humanitarian sphere  the press service of the Kazakh leader reports . Zelensky agreed   on cooperation between Kazakhstan   the press service of the Kazakh leader reports . Zelensky agreed   on Ukraine in the humanitarian sphere  the press service of the Kazakh leader reports . .
",meter-true
"Bild : Germany delivered 500 Stinger anti-aircraft missiles . Bild : Germany 1000 Panzerfaust anti-tank grenade launchers to Ukraine . 
",meter-true
"Abramovich instructed the team to create a charity fund , , where all proceeds from the sale of the club will be transferred . all proceeds from the sale of the club will be transferred . all proceeds from the sale of the club be transferred . all proceeds from the sale of the club transferred . The money from this fund will go to help victims of hostilities in Ukraine .
",meter-true
"The Ukrainian delegation is on its way to a meeting with the Russian delegation to Bialowieza Forest, Zelenskyi's office reported..
",meter-true
"Blinken: The US is ready for diplomatic work if Moscow de-escalates the situation with Ukraine .
",meter-true
"The US will fully support Ukraine if it decides to continue participating in negotiations with Russia . it decides to continue participating in negotiations with Russia . it to continue participating in negotiations with Russia . it continue participating in negotiations with Russia . it participating in negotiations with Russia . .
",meter-true
"The US sees no signs that the army of Belarus is preparing to take part in Russia 's operation in Ukraine . the army of Belarus sees is preparing to take part in Russia 's operation in Ukraine . the army of Belarus sees preparing to take part in Russia 's operation in Ukraine . the army of Belarus sees to take part in Russia 's operation in Ukraine . the army of Belarus sees take part in Russia 's operation in Ukraine . .
",meter-true
"The Russian-Ukrainian negotiations will not take place in Bialowieza Forest . The Russian-Ukrainian negotiations in another place  said a member of the Ukrainian delegation  David Arahamia . Where exactly , , until it is clarified . . Where exactly , , until it is clarified . . . it is clarified . it clarified . 
",meter-true
"The German software company SAP stops  business . The German software company SAP stops  sales of products in Russia . The organization will also donate 1 million euros to a humanitarian fund for Ukraine..
",meter-true
"Ukraine informed the IAEA that no operations related to nuclear materials have been carried out at the Chornobyl NPP since February 24.Ukraine carried out at the Chornobyl NPP since February 24.
",meter-true
"The authorities of Germany intend to provide Ukraine with 2,700 anti-aircraft missiles ""Strela"", the DPA agency reported with reference to sources in the Ministry of Economy..
",meter-true
"Polish MFA : Ukraine could become a candidate for EU membership tomorrow . Polish MFA : Ukraine could become the day after tomorrow . 
",meter-true
"The European Commission : : the EU must be ready for millions of refugees from Ukraine , , almost 1 million people have already arrived . . must be ready for millions of refugees from Ukraine , , almost 1 million people have already arrived . millions of refugees from Ukraine , , almost 1 million people have already arrived . millions of refugees from Ukraine , , almost 1 million people arrived . 
",meter-true
"Volodin offered cultural figures . Volodin do not support Russia 's special operation in Ukraine to leave their positions . 
",meter-true
"Ryabkov is sure that the tasks of the special operation in Ukraine will be fulfilled in full..
",meter-true
"Roskomnadzor demands that YouTube ""stop the demonstration on the territory of Russia of unreliable materials about a special military operation in Ukraine in advertising"" .
",meter-true
"Alcohol company Diageo Johnnie Walker  Captain Morgan  Guinness  Smirnoff  White Horse stops exporting to Russia . Alcohol company Diageo Johnnie Walker  Captain Morgan  Guinness  Smirnoff  White Horse stops exporting to Ukraine . .
",meter-true
"The Biden administration asks Congress to approve the allocation of $32.5 billion to support Ukraine - The Washington Post .
",meter-true
"The EU signed a Memorandum with Ukraine on the provision of 1.2 billion euros in macro-financial assistance .
",meter-true
"Macron's conversation with Putin was, in particular, devoted to humanitarian issues in connection with the situation in Ukraine, the French Prime Minister said..
",meter-true
"Putin told Macron that the tasks of Russia's special military operation in Ukraine will be fulfilled in any case..
",meter-true
"The Verkhovna Rada approved the law on the forced seizure of Russian property in Ukraine .
",meter-true
"The Verkhovna Rada asks the UN to introduce peacekeepers to Ukraine. The Verkhovna Rada asks other international organizations to introduce peacekeepers to Ukraine. The UN Secretary General to mediate in resolving the conflict. . 
",meter-true
"Canada is sending additional lethal weapons to Ukraine, the defense minister says..
",meter-true
"Macron : Putin expressed `` great determination `` to continue the offensive  the goal of . Macron : Putin is to `` take control `` of all of Ukraine . 
",meter-true
"the US is ready to negotiate . Putin is is ready to withdraw troops from Ukraine . Putin is to withdraw troops from Ukraine . Putin is withdraw troops from Ukraine . .
",meter-true
"The US does not see a willingness on the part of China to introduce sanctions against Russia, to condemn it for its actions in Ukraine, the Pentagon said..
",meter-true
"During a street poll, Russians advocated war against Ukraine .
",meter-true
"Putin announced a moment of silence for all those killed during the special operation in Ukraine .
",meter-true
"Zelensky: Erdogan will be among the future guarantors of Ukraine's security..
",meter-true
"Ukraine will receive 4500 M-72 LAW grenade launchers . Ukraine will receive 7500 hand grenades . Ukraine will receive - . Ukraine will receive Minister of Defense of Canada . .
",meter-true
"Russia will continue negotiations in the third round in the near future . Ukraine will continue negotiations in the third round in the near future . 
",meter-true
"Russia agreed  on a number of humanitarian issues  including the possibility of a temporary ceasefire for the organization of humanitarian corridors . Ukraine agreed  on a number of humanitarian issues  including the possibility of a temporary ceasefire for the organization of humanitarian corridors . 
",meter-true
"Podolyak : Ukraine will create communication channels for cooperation during the evacuation of civilians . Podolyak : Russia will create communication channels for cooperation during the evacuation of civilians . 
",meter-true
"Medynskyi : Russia agreed   on humanitarian corridors for the evacuation of the population   . Medynskyi : Ukraine agreed   on humanitarian corridors for the evacuation of the population   . Medynskyi : a possible temporary ceasefire . 
",meter-true
"Slutsky announced the possibility of making decisions at the highest level regarding the settlement in Ukraine in the near future .
",meter-true
"Elon Musk went over to the side of the enemy, supplying Ukraine with equipment to ensure access to broadband Internet..
",meter-true
"The accession of Ukraine to the EU is not the issue that is being discussed now  it is necessary to stop the conflict - Scholz . The accession of Georgia to the EU is not the issue that is being discussed now  it is necessary to stop the conflict - Scholz . The accession of Moldova to the EU is not the issue that is being discussed now  it is necessary to stop the conflict - Scholz . .
",meter-true
"The government of the Czech Republic has approved the transfer of arms ammunition worth about 731000 dollars to Ukraine free of charge . .
",meter-true
"In the Czech Republic, due to the influx of refugees from Ukraine, a state of emergency has been introduced.It will last 30 days with the possibility of further extension.The country's government emphasized that this ""will not affect Czech citizens."".
",meter-true
"Roskomnadzor supported the Russian `` military special operation `` in Ukraine `` . Roskomnadzor supported the Russian renamed its channel to `` RoskomnadZor `` . 
",meter-true
"The State Duma session began with a moment of silence in memory of Russian soldiers killed in Ukraine..
",meter-true
"A petition to NATO about closing the airspace over Ukraine has gathered more than 1 million votes Source: OpenPetition .
",meter-true
"The German car manufacturer Porsche has decided to stop supplying cars to Russia against the background of the situation around Ukraine..
",meter-true
"Zelensky: the entire Russian army has been thrown against Ukraine .
",meter-true
"NATO is not a party to the conflict in Ukraine . NATO does not seek war with Russia - Stoltenberg . 
",meter-true
"Zelensky demanded  that the West introduce new sanctions against Russia . Zelensky demanded  that the West close the sky over Ukraine . .
",meter-true
"The Times: British authorities plan to house refugees from Ukraine in confiscated mansions of Russian oligarchs .
",meter-true
"The UN Human Rights Council voted to investigate rights violations in the context of Russia's special operation in Ukraine..
",meter-true
"Germany is not a party to the conflict in Ukraine . Germany will not become one . .
",meter-true
"Today, NATO will discuss the introduction of a no-fly zone over Ukraine - Financial Times .
",meter-true
"Volodin : Zelensky left Ukraine  the deputies of the Verkhovna Rada said that they could not get to Zelensky in Lviv . Volodin : Zelensky went to Poland According to the speaker  the deputies of the Verkhovna Rada said that they could not get to Zelensky in Lviv . .
",meter-true
"The World Nuclear Association (WNA) supports the creation of safe zones around nuclear power plants in Ukraine, reports ""Energoatom""..
",meter-true
"NATO is not going to close the sky over Ukraine, there will be no NATO troops in the country - Jens Stoltenberg .
",meter-true
"Scholz agreed to soon hold new negotiations regarding Ukraine — Cabinet of Germany . Putin agreed to soon hold new negotiations regarding Ukraine — Cabinet of Germany . 
",meter-true
"Podolyak refused to answer questions about the whereabouts of Ukrainian President Volodymyr Zelenskyi .
",meter-true
"The Lithuanian Parliament supports the introduction of a closed sky over Ukraine .
",meter-true
"Zelenskyi is in Kyiv, he has not left Ukraine, the Verkhovna Rada claims .
",meter-true
"The number of refugees exceeded  700000  . The number of the Polish border guard reports . Arrived in Poland from Ukraine exceeded   700000  . Arrived in Poland from the Polish border guard reports . .
",meter-true
"UN: 331 civilians of Ukraine died during the ""military operation"", including 19 children.675 people were injured .
",meter-true
"Volodymyr Zelenskyi held talks with the President of the European Council, Charles Michel - they discussed the safety of nuclear power plants in Ukraine - Ukraine's membership in the EU - new sanctions against Russia .
",meter-true
"The American military has  established a communication channel with Russia regarding the situation around Ukraine  reports  the correspondent of the American publication Stars . The American military has  established a communication channel with Russia regarding the situation around Ukraine  reports  Stripes . .
",meter-true
"Johnson emphasized  the importance of full international condemnation of Russia 's actions in Ukraine  Downing Street reported . Erdogan emphasized  the importance of full international condemnation of Russia 's actions in Ukraine  Downing Street reported . .
",meter-true
"The UN Security Council is holding a meeting on the situation around Ukraine .
",meter-true
"Ukrainian media reports that President Volodymyr Zelenskyi will make an emergency statement in the next few minutes .
",meter-true
"The G7. Called  for the urgent opening of humanitarian corridors in Ukraine . Warned Russia of further severe sanctions. . .
",meter-true
"China calls on Russia to find a solution that would take into account the legitimate concerns of both sides  the post-envoy of the People 's Republic of China to the UN said . China calls on Ukraine to find a solution that would take into account the legitimate concerns of both sides  the post-envoy of the People 's Republic of China to the UN said . .
",meter-true
"Porsche donated 1 million euros to provide emergency aid to people affected by the humanitarian crisis in Ukraine .
",meter-true
"The US believe that it is not necessary to introduce a `` no-fly zone `` over Ukraine - Secretary of State Blinken . NATO believe that it is not necessary to introduce a `` no-fly zone `` over Ukraine - Secretary of State Blinken . 
",meter-true
"The World Bank is ready to strongly support Ukraine - Zelenskyi According to the president, this is important to overcome the consequences of a special operation by Russia .
",meter-true
"Knowing that new strikes casualties are inevitable  NATO deliberately decided not to close the sky over Ukraine — Zelensky . Knowing that strikes casualties are inevitable  NATO deliberately decided not to close the sky over Ukraine — Zelensky . 
",meter-true
"Zelensky: We believe that the NATO countries themselves created the narrative that the alleged closure of the sky over Ukraine will provoke direct Russian aggression against NATO.This is self-hypnosis!.
",meter-true
"Zelensky denies the information about his departure from Ukraine Earlier this information was spread by the spokesman of the Russian State Duma Volodin.Zelensky denies spread by the spokesman of the Russian State Duma Volodin.
",meter-true
"The Czech Republic plans to pay 200 euros per month to refugees from Ukraine.Refugees will be able to receive payments within three months of their arrival in the country .
",meter-true
"Singapore announced sanctions against Russian banks  explaining that for it  as a small state  Russia 's attack on Ukraine is a dangerous precedent . Singapore announced sanctions against the state  explaining that for it  as a small state  Russia 's attack on Ukraine is a dangerous precedent . .
",meter-true
"To. Countries are refugees from Ukraine going ?. There are already more than 1.2 million of them..
",meter-true
"It is planned to evacuate more than 200000 people from Mariupol from Volnovakha  the Deputy Prime Minister of Ukraine said . It is planned to evacuate more than 15000 from Volnovakha  the Deputy Prime Minister of Ukraine said . .
",meter-true
"The third round of negotiations between the delegations of Ukraine may take place on March 7. . The third round of negotiations between Russia may take place on March 7. . 
",meter-true
"The European Union allocated the first tranche of 500 million euros to help refugees from Ukraine .
",meter-true
"The Ukrainian authorities of Mariupol announced the evacuation of the civilian population from the city through a humanitarian corridor .
",meter-true
"According to Johnson, Ukraine had no serious prospect of NATO membership in the near future..
",meter-true
"Pope Francis said that the Holy See is ready to do everything to achieve peace in Ukraine..
",meter-true
"Tina Kandelaki will be declared an international wanted person in the coming days - Prosecutor General of Ukraine .
",meter-true
"The President of Ukraine , , Volodymyr Zelenskyy , , announced that six cities will be awarded the title of Hero City . six cities will be awarded the title of Hero City . six cities be awarded the title of Hero City . six cities awarded the title of Hero City . These are Kharkiv, Chernihiv, Mariupol, Kherson, Gostomel, Volnovakha..
",meter-true
"The US Congress will consider Russia 's exception to the WTO on oil imports . The US Congress will consider Russia 's exception to the ban on oil imports . The bill will cancel `` normal trade relations with Russia . `` The bill will cancel `` Belarus . `` $10 billion can be allocated to Ukraine..
",meter-true
"Youtube blocked the channel of pro-Russian blogger Anatoly Shary in Ukraine A year ago . Shary wanted . 
",meter-true
"The Russian delegation flew to Belarus for the third round of negotiations with Ukraine - RIA Novosti .
",meter-true
"Mykola Baskov is  suspected of propagandizing  the court granted  the request for his arrest — Prosecutor General of Ukraine . Mykola Baskov is  justifying the war in Ukraine  the court granted  the request for his arrest — Prosecutor General of Ukraine . 
",meter-true
"According to journalist Hristo Grozev, Russia demands from Ukraine: 1.Appoint Yury Boyk as Prime Minister 2.Recognize the LDPR . Recognize Crimea 3 . Give up NATO Zelensky flatly refused..
",meter-true
"On March 7  Biden will discuss the situation in Ukraine via video link with Macron  the White House reported . On March 7  Biden will discuss the situation in Ukraine via video link with Scholz  the White House reported . On March 7  Biden will discuss the situation in Ukraine via video link with Johnson  the White House reported . .
",meter-true
"The Ukrainian delegation arrived by helicopter for the third round of negotiations with Russia in Bialowieza Forest..
",meter-true
"UN: more than 400 civilians died during the special operation in Ukraine .
",meter-true
"The third round of negotiations between Russia . The third round of Ukraine . 
",meter-true
"Macron intends to call the President of the People's Republic of China on March 8 to discuss the situation around Ukraine..
",meter-true
"Slutsky: the fourth round of negotiations with Ukraine will take place in the near future .
",meter-true
"French President Emmanuel Macron said that he does not expect the situation in Ukraine to be resolved in the near future..
",meter-true
"We want direct talks between Zelenskyi . We want Putin - Ministry of Foreign Affairs of Ukraine . 
",meter-true
"Leonardo DiCaprio donated 10 million dollars to Ukraine .
",meter-true
"Ex-President of Ukraine Viktor Yanukovych addressed Volodymyr Zelenskyi .
",meter-true
"The Doha-Montreal Qatar Airways plane flew over Crimea. Headed for the segment of flights over Ukraine closed  for civil aviation in the Odesa area — Flightradar24. . 
",meter-true
"Regarding NATO - I cooled down on this issue after I realized that they are not ready to accept Ukraine into the alliance..
",meter-true
"Xi Jinping discussed Ukraine with Macron  said that it is necessary to take into account the security concerns of all countries . Xi Jinping discussed Ukraine with Scholz  said that it is necessary to take into account the security concerns of all countries . Xi noted that the situation in Ukraine is worrying..
",meter-true
"A number of representatives of the US ""foreign policy elite"" called on the Biden administration to introduce a ""restrictive"" no-fly zone over Ukraine .
",meter-true
"Zelensky held talks with the Prime Minister of Israel  during. The parties discussed ways to resolve the conflict in Ukraine. . 
",meter-true
"CERN (European Organization for Nuclear Research) terminates the status of an observer country for Russia due to the situation in Ukraine .
",meter-true
"The European Commission intends to join Ukraine to the EU energy grid in the near future .
",meter-true
"Stoltenberg confirmed that NATO is not looking for a conflict with Russia NATO's goal is to prevent the conflict in Ukraine from spreading beyond its borders..
",meter-true
"Putin will not succeed in defeating Ukraine..
",meter-true
"Biden called on the US Congress to pass a $12 billion package to support Ukraine .
",meter-true
"Canada will send another $38.8 million in military aid to Ukraine, Trudeau said..
",meter-true
"Putin instructed the military prosecutor's office to look into the situation with the dispatch of ambulances to Ukraine .
",meter-true
"The presenter of the TV channel `` Zirka `` . The presenter of the TV channel `` Zirka rebelled when the studio was asked to honor the memory of Russian soldiers . The presenter of the TV channel `` Zirka died during a special operation in Ukraine . 
",meter-true
"Putin spoke by phone with Scholz, the parties discussed the operation in Ukraine .
",meter-true
"The spread of COVID-19 may increase due to the conflict in Ukraine..
",meter-true
"Volodymyr Zelenskyy signed a law that allows all residents of Ukraine to use weapons during martial law..
",meter-true
"Former German Chancellor Gerhard Schröder arrived in Moscow for talks with Putin on Ukraine — Politico source .
",meter-true
"France does not consider it a possible procedure to consider Ukraine's application to join the European Union in conflict conditions..
",meter-true
"Ukraine completely refuses to purchase Russian nuclear fuel - ""Energoatom""..
",meter-true
"The prime minister of Slovenia: the EU has not changed enough to grant membership to Ukraine .
",meter-true
"Canadian Prime Minister Trudeau said that NATO will not be able to help Ukraine with the closure of the sky.Canadian Prime Minister Trudeau help Ukraine with the closure of the sky.
",meter-true
"Events in Ukraine should not turn into a NATO war with Russia, this will lead to great casualties - Stoltenberg .
",meter-true
"Escalation will lead to casualties. NATO understands Ukraine 's frustration with the alliance 's reluctance to close the skies. Suffering beyond the country 's borders  NATO Secretary General Stoltenberg said. . .
",meter-true
"The number of refugees  reached  2.5 million people said . The number of refugees  reached  the UN High Commissioner for Refugees Filippo Grandi said . The number of left Ukraine since February 24 has   reached  2.5 million people The UN High Commissioner for Refugees Filippo Grandi said. . .
",meter-true
"The European Commission will allocate EUR 300 million in aid to Ukraine..
",meter-true
"The Ukrainian court arrested Margarita Simonyan in absentia - statement of the Prosecutor General of Ukraine .
",meter-true
"A Tu-141 drone launched from the territory of Ukraine crashed in Crimea, Russian state media reported..
",meter-true
"In connection with the situation in Ukraine  Switzerland closes the sky to aircraft of the parties to the conflict aircraft of other states in order to provide military support to the parties to the conflict . In connection with the situation in Ukraine  Switzerland closes the sky to aircraft of the parties to conflict aircraft of other states in order to provide military support to the parties to the conflict . 
",meter-true
"The Wall Street Journal: Biden personally banned the supply of Polish MiG-29 fighter jets to Ukraine in order ""not to provoke Putin to escalate the special operation"" .
",meter-true
"Warsaw has . Warsaw accepted 200000 refugees from Ukraine . Warsaw can not accept more . Warsaw reports . Warsaw the Polish publication Rzeczpospolita . The publication also notes that the situation is the same in Krakow..
",meter-true
"Telegram accompanied    the announcement of new updates with a picture in the foreground of a book with the coat of arms of Ukraine    resembles someone . Telegram accompanied    the announcement of new updates with a picture in the foreground of a book with the coat of Dobby    resembles someone . Telegram accompanied    the announcement of new updates suspiciously resembles someone . 
",meter-true
"Ukraine should decide for itself whether to join NATO  Stoltenberg said . Ukraine should decide for itself whether to join not  Stoltenberg said . .
",meter-true
"Ukrainian travel blogger Anton Ptushkin recorded an appeal to the Russians: ""I come from Luhansk.Luhansk is  my home . Was taken from me in 2014. . Have you ever had your home taken away?"".
",meter-true
"Sony Pictures Entertainment has announced that it is suspending all activities in Russia due to the situation with Ukraine . it has is suspending all activities in Russia due to the situation with Ukraine . it has suspending all activities in Russia due to the situation with Ukraine . .
",meter-true
"Zelensky at a press conference with foreign media: I do not see courage in uniting NATO member countries for the sake of Ukraine .
",meter-true
"The President of Ukraine , , Volodymyr Zelenskyy , , announced that almost 125,000 citizens have been evacuated from the combat zone . almost 125,000 citizens have been evacuated from the combat zone . almost 125,000 citizens been evacuated from the combat zone . almost 125,000 citizens evacuated from the combat zone . .
",meter-true
"A resident of Kyiv wearing a wig makeup tried to escape from Ukraine  posing as a woman at the border  the State Border Service of Ukraine reports . A resident of Kyiv wearing wig makeup tried to escape from Ukraine  posing as a woman at the border  the State Border Service of Ukraine reports . .
",meter-true
"The President of Ukraine  Zelenskyy  published a video in. He visits the injured Ukrainian soldiers. . 
",meter-true
"the Armed Forces of Ukraine will destroy him - Oleksiy Arestovych , , adviser to the President of Ukraine . Kadyrov is really near Kyiv . .
",meter-true
"Ukraine will declare Volodymyr Solovyov on international wanted list - statement .
",meter-true
"A court in Ukraine arrested Russian journalist Volodymyr Solovyov in absentia .
",meter-true
"Volodymyr Zelenskyy extends martial law in Ukraine for another 30 days..
",meter-true
"A potential list of banned persons on the territory of Russia They spoke out against the special operation in Ukraine..
",meter-true
"Ukraine has been resisting for longer than the US assumed..
",meter-true
"Ukrainian Railways is starting the procedure of nationalization of Russian wagons located on the territory of Ukraine .
",meter-true
"The issue of regime change in Ukraine was  not even raised during the negotiations between the Russian  said  the Russian ambassador in Paris . The issue of regime change in Ukraine was  not even raised during Ukrainian delegations  said  the Russian ambassador in Paris . .
",meter-true
"Ukraine heard that it will not join NATO, it is true, it must be admitted — Zelensky .
",meter-true
"At the moment, NATO is not considering the issue of introducing a no-fly zone over Ukraine - the post of the US ambassador .
",meter-true
"The court found   out that the protocol against Maryna Ovsyannikova was   drawn up not in . The court found   out that the protocol against Maryna Ovsyannikova was   drawn up for the action with the poster on the air of the First Channel in . The court found   out that the protocol against Maryna Ovsyannikova was   drawn up for the video message in . The court found  out that she spoke  against the war with Ukraine . 
",meter-true
"Ukrainian Forbes: Due to the blocking of Instagram, Russian bloggers will lose from $200 million to $2 billion .
",meter-true
"US President Joe Biden will travel to Europe next week for personal talks with European leaders regarding Russia's special operation in Ukraine, the White House reports..
",meter-true
"The USA will provide Ukraine with 13.6 billion dollars .
",meter-true
"The European Union did not ban the import of caviar vodka from Russia as part of the fourth package of sanctions due to the situation around Ukraine  according to a message published by the European Commission . .
",meter-true
"About 3 million refugees from Ukraine arrived in neighboring countries — Office of the United Nations High Commissioner for Refugees..
",meter-true
"Biden can provide Ukraine with more than $1 billion in military aid, WSJ writes with reference to American officials..
",meter-true
"Berlin is against sending any NATO troops to Ukraine, this is a red line - Germany on the idea of ​​sending peacekeepers to Ukraine .
",meter-true
"BMW factories in Europe suspend work due to a lack of parts from Ukraine . Volkswagen factories in Europe suspend work due to a lack of parts from Ukraine . 
",meter-true
"Sobyanin said that he supports Russia's special operation in Ukraine .
",meter-true
"The FT writes with reference to sources that Russia have prepared a plan that includes a ceasefire . The FT writes with reference to sources that Russia have prepared a plan that includes a reduction in the number of Ukrainian troops . The FT writes with reference to sources that Russia have prepared a plan that includes the withdrawal of troops on the condition of Kyiv 's neutrality . The FT writes with reference to sources that Russia have prepared a plan that includes the withdrawal of troops on a reduction in the number of Ukrainian troops . The FT writes with reference to sources that Ukraine have prepared a plan that includes a ceasefire . The FT writes with reference to sources that Ukraine have prepared a plan that includes a reduction in the number of Ukrainian troops . The FT writes with reference to sources that Ukraine have prepared a plan that includes the withdrawal of troops on the condition of Kyiv 's neutrality . The FT writes with reference to sources that Ukraine have prepared a plan that includes the withdrawal of troops on a reduction in the number of Ukrainian troops . 
",meter-true
"Zelensky signed a law that opens the legal cryptocurrency market in Ukraine.Zelensky opens the legal cryptocurrency market in Ukraine.
",meter-true
"The UN International Court of Justice ruled that Russia should stop the special operation in Ukraine..
",meter-true
"A Ukrainian tried to cross the border in a box with children 's things. He was discovered by border guards. . 
",meter-true
"Biden on the situation around Ukraine : it could be a long struggle . Biden on the situation around Ukraine : it could be a struggle . Biden on the situation around Ukraine : it could be a difficult struggle . 
",meter-true
"Ukraine exchanged 9 captured Russian soldiers for Melitopol mayor Ivan Fedorov .
",meter-true
"NATO will not intervene in the conflict in Ukraine - Chancellor of Germany Olaf Scholz .
",meter-true
"White House : Biden will talk with Xi Jinping tomorrow . White House : Biden will talk with discuss events in Ukraine . White House : Biden will talk with bilateral relations . 
",meter-true
"The agreement of a peace treaty between Ukraine may take from several days to a week . The agreement of a peace treaty between Ukraine may take from several days to a half . The agreement of a peace treaty between Ukraine may take from several days to - . The agreement of a peace treaty between Ukraine may take from several days to Podoliak . The agreement of a peace treaty between Russia may take from several days to a week . The agreement of a peace treaty between Russia may take from several days to a half . The agreement of a peace treaty between Russia may take from several days to - . The agreement of a peace treaty between Russia may take from several days to Podoliak . 
",meter-true
"Biden intends to tell Xi Jinping that the US will take action if it turns out that China supports Russia's actions in Ukraine - Secretary of State Blinken .
",meter-true
"The economic consequences of the Russian military operation in Ukraine will affect the whole world - Blinken .
",meter-true
"The President of Ukraine, Volodymyr Zelensky, was nominated for the Nobel Peace Prize.This was  done by a group of European politicians - former ministers of European states  deputies . This was  done by a group of European politicians - ministers of European states  deputies . This was  done by a group of European politicians - current ministers of European states  deputies . 
",meter-true
"Steam suspended payments to developers from Belarus . Steam suspended payments to developers from Russia . Steam suspended payments to developers from Ukraine . 
",meter-true
"Biden calls on Xi Jinping to use his influence with Putin to end the special operation in Ukraine .
",meter-true
"The neutral status of Ukraine are topics on. Its failure to join NATO are topics on. Moscow have brought their positions as close as possible during the negotiations. Kyiv have brought their positions as close as possible during the negotiations. . .
",meter-true
"Putin exchanged  views on the situation around Ukraine by phone  the Kremlin said . Macron exchanged  views on the situation around Ukraine by phone  the Kremlin said . .
",meter-true
"Hollywood director Steven Spielberg donated $1 million to five organizations that help refugees from Ukraine..
",meter-true
"The US are discussing the possibility of using the assets of Russia to finance the reconstruction of Ukraine . The US are discussing the possibility of using Russian elites under sanctions to finance the reconstruction of Ukraine . The EU are discussing the possibility of using the assets of Russia to finance the reconstruction of Ukraine . The EU are discussing the possibility of using Russian elites under sanctions to finance the reconstruction of Ukraine . .
",meter-true
"Putin told the Prime Minister of Luxembourg about the danger for the EU of the biological military activities of the USA in Ukraine .
",meter-true
"Epic Games will direct all proceeds from Fortnite from March 20 to April 3 to humanitarian aid in Ukraine .
",meter-true
"Zelensky : if they end in failure  Russia * * * * between * will lead to the third world war . Zelensky : I am ready for negotiations with Putin . Zelensky : if they end in failure  Ukraine * * * * between * will lead to the third world war . 
",meter-true
"Zelenskyi extended martial law in Ukraine from March 26 for another 30 days .
",meter-true
"10 million people have been forced to leave their homes in Ukraine since February 24 — according to the UN High Commissioner for Refugees .
",meter-true
"Pope Francis wrote a tweet in Ukrainian in support of Ukraine.He called for specific efforts prayers to help the country . He called for efforts prayers to help the country . He urged its citizens not to get used to violence . .
",meter-true
"Australia will provide Ukraine with 70,000 tons of coal for free..
",meter-true
"The International Chess Federation disqualified Russian Serhii Karyakin for 6 months.Earlier, he supported Russia's ""special operation"" in Ukraine..
",meter-true
"The representative of the Russian delegation at the negotiations with Ukraine Medinsky wrote that he cut his Visa card `` . The representative of the Russian delegation at the negotiations with Ukraine Medinsky wrote that he switched to `` Svit `` . 
",meter-true
"The police check a resident of Moscow through a garland in the form of the flag of Ukraine.A man from the house opposite complained about her.— BAZA denunciations have arrived... .
",meter-true
"A project was submitted to the State Duma on recognition of the participants of the special operation in Ukraine as veterans of combat operations . A project was submitted to the State Duma on recognition of the participants of the special operation in Donbas as veterans of combat operations . .
",meter-true
"The State Duma unanimously adopted the law on recognizing the participants of the ""special operation"" in Ukraine as combat veterans .
",meter-true
"Since the beginning of the special operation in Ukraine, the number of cases of Internet fraud in Moscow has sharply decreased, the Ministry of Internal Affairs reported..
",meter-true
"The EU has approved an agreement with Ukraine that will allow Kyiv to provide classified information, including satellite images — Bloomberg .
",meter-true
"EU ambassadors approved the provision of 500 million euros for military aid to Ukraine, Radio Liberty journalist Rikard Jozvyak reported..
",meter-true
"The Central Bank denies that the head of the Central Bank of Russia  Elvira Nabiullina  was going to resign . The Central Bank denies that of a special operation in Ukraine . .
",meter-true
"Macron said that he is ready to continue the dialogue with Putin as long as necessary to achieve a ceasefire in Ukraine.Macron achieve a ceasefire in Ukraine.
",meter-true
"The NATO summit called on Russia to ensure full humanitarian access to the territory of Ukraine . The NATO summit called on Russia to ensure unlimited humanitarian access to the territory of Ukraine . 
",meter-true
"Ukrainian President Volodymyr Zelenskyy asked the EU countries not to delay the adoption of Ukraine as a member of the community .
",meter-true
"Turkey leads in military aid to Ukraine among other countries..
",meter-true
"Joe Biden called Vladimir Putin an executioner after visiting refugees from Ukraine in Warsaw .
",meter-true
"US President Joe Biden said that he is not sure that Russia has somehow changed its strategy when conducting a special military operation in Ukraine..
",meter-true
"Biden : Denazification of Ukraine is a lie . Biden : the Russian authorities want to oust Zelensky . Biden : is a democratically elected Jew whose grandfather fought against Nazi Germany . 
",meter-true
"Biden: The US will accept 100,000 refugees from Ukraine .
",meter-true
"Zelenskyi : Ukraine is ready to move towards nuclear-free status neutrality . Zelenskyi : Ukraine is ready to move towards status neutrality . 
",meter-true
"A new meeting of the delegations of Russia will take place in Istanbul - Erdogan 's office . A new meeting of Ukraine will take place in Istanbul - Erdogan 's office . 
",meter-true
"Negotiations between Ukraine are to begin tonight in Istanbul . Negotiations between Russia are to begin tonight in Istanbul . 
",meter-true
