claim,truth_value,topic,year_of_publish
“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,war-crimes,2022
CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,war-crimes,2022
"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,war-crimes,2022
“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,war-crimes,2022
Russian President Vladimir Putin “was assassinated.”,tom_ruling_pof,war-crimes,2022
"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,war-crimes,2022
“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,war-crimes,2022
"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",tom_ruling_pof,war-crimes,2022
“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,war-crimes,2022
"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,war-crimes,2022
A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,war-crimes,2022
“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-half-true,war-crimes,2022
"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,war-crimes,2022
A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,war-crimes,2022
This video shows “Russian war in Ukraine.”,meter-false,war-crimes,2022
"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,war-crimes,2022
"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,war-crimes,2022
Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,war-crimes,2022
"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,war-crimes,2022
A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,war-crimes,2022
The war in Ukraine is “scripted and staged.”,tom_ruling_pof,war-crimes,2022
Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-half-true,war-crimes,2022
Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,war-crimes,2022
"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,war-crimes,2022
Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,war-crimes,2022
Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,war-crimes,2022
A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,war-crimes,2022
"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,war-crimes,2022
Video shows footage from Russia invading Ukraine.,meter-false,war-crimes,2022
TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,war-crimes,2022
Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,war-crimes,2022
"This ""footage"" shows Russia attacking Ukraine.",meter-false,war-crimes,2022
"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,war-crimes,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,war-crimes,2022
"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,war-crimes,2022
"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,war-crimes,2022
"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,war-crimes,2021
"The FBI raided a “Cleveland office linked to Ukraine. Biden, Pelosi, Kerry and Romney all had sons getting tens of millions of dollars from no-show jobs in Ukraine.”",meter-false,war-crimes,2020
Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,war-crimes,2020
"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",tom_ruling_pof,war-crimes,2020
"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,war-crimes,2019
"""Ukraine blatantly interfered in our election.""",meter-false,war-crimes,2019
"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,war-crimes,2019
"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,war-crimes,2019
"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-mostly-true,war-crimes,2019
"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,war-crimes,2019
"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-mostly-false,war-crimes,2019
"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-mostly-false,war-crimes,2019
"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,war-crimes,2019
"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",tom_ruling_pof,war-crimes,2019
"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-mostly-true,war-crimes,2019
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,war-crimes,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,war-crimes,2018
"""The Russian state has never interfered ... into internal American affairs including election process.""",tom_ruling_pof,war-crimes,2018
"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false,war-crimes,2018
"""Justice Kennedy quit because he and his son helped Trump launder illegal Russian money through Deutsche Bank.""",meter-false,war-crimes,2018
"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",tom_ruling_pof,war-crimes,2018
"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",meter-mostly-false,war-crimes,2017
"""This is not the first time (the Russians) have been involved in our elections.""",meter-half-true,war-crimes,2017
"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-mostly-true,war-crimes,2017
"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-half-true,war-crimes,2016
"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-half-true,war-crimes,2016
"Russia and China are ""doing naval exercises together someplace.""",meter-mostly-true,war-crimes,2016
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,war-crimes,2016
"Says Hillary Clinton ""presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.""",tom_ruling_pof,war-crimes,2016
"""Texas has a higher incarceration rate than Russia or Iran.""",meter-mostly-true,war-crimes,2016
"Says Sarah Huckabee Sanders tweeted, “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”",meter-false,insurgency,2020
"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-mostly-true,insurgency,2019
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,insurgency,2019
"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,insurgency,2009
Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,myanmar,2022
"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,al-qaeda,2022
A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,al-qaeda,2022
"""104 House Democrats voted for impeachment before the Ukraine call took place.""",meter-mostly-false,al-qaeda,2019
"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",meter-half-true,al-qaeda,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,al-qaeda,2018
"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,al-qaeda,2018
"""This is not the first time (the Russians) have been involved in our elections.""",meter-half-true,al-qaeda,2017
"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",meter-false,al-qaeda,2017
"""Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.""",meter-false,al-qaeda,2015
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,al-qaeda,2013
"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,al-qaeda,2012
Says Romney called Russia our No. 1 enemy.,meter-mostly-true,al-qaeda,2012
North Korea has taken military action against Russia.,tom_ruling_pof,iran,2022
Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,iran,2022
"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-half-true,iran,2020
"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,iran,2019
"Says Attorney General William Barr tweeted that the US ""gave Iran USA taxpayer dollars"" so Iran could purchase uranium from Russia.",tom_ruling_pof,iran,2019
"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-mostly-true,iran,2019
"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,iran,2018
"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false,iran,2018
"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,iran,2018
"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-mostly-false,iran,2017
"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",tom_ruling_pof,iran,2017
"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",meter-mostly-true,iran,2017
"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",meter-false,iran,2017
"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-mostly-false,iran,2016
"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",meter-mostly-true,iran,2016
"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,iran,2016
"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",meter-mostly-false,iran,2016
"""Texas has a higher incarceration rate than Russia or Iran.""",meter-mostly-true,iran,2016
"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",tom_ruling_pof,iran,2016
"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,iran,2015
"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-mostly-true,iran,2015
"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",meter-mostly-false,iran,2014
"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,iran,2014
"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-half-true,iran,2014
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,iran,2014
"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-half-true,iran,2014
"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,iran,2012
Says Romney called Russia our No. 1 enemy.,meter-mostly-true,iran,2012
"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",tom_ruling_pof,iran,2012
"The United States ""is number one in the world in energy resources; Russia is number two.""",meter-true,iran,2011
"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",meter-true,iran,2011
"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",meter-true,iran,2010
"In Russia ""all people are absolutely equal regardless of their religion, sex, ethnicity, or sexual orientation,"" while ""70 countries of the world have criminal liability for homosexuality.""",meter-half-true,yemen,2014
“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,meter-mostly-false,afghanistan,2022
Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,afghanistan,2022
“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,afghanistan,2022
"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,afghanistan,2019
"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,afghanistan,2014
"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,afghanistan,2014
"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,afghanistan,2009
“The Simpsons predicted Pizzagate.”,tom_ruling_pof,ukraine,2022
A video shows migrants faking tears for news cameras.,meter-false,ukraine,2020
Russia’s Army was “destroyed.”,meter-false,ukraine,2022
The Federal Reserve “has suspended the availability of new currency.”,meter-false,ukraine,2022
The war in Ukraine is “all over.”,meter-false,ukraine,2022
“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,ukraine,2022
"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,ukraine,2022
“The CEO of FTX is the daughter of the chairman of the SEC.”,meter-false,ukraine,2022
U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,ukraine,2022
"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",meter-false,ukraine,2022
"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",tom_ruling_pof,ukraine,2022
The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,meter-false,ukraine,2022
“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,meter-mostly-false,ukraine,2022
The price of gas is “down from over $5 when I took office.”,meter-false,ukraine,2022
“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,ukraine,2022
"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,ukraine,2022
Today’s high food prices were planned during a 2015 food shortage simulation.,tom_ruling_pof,ukraine,2022
Video clips show staged war footage from Ukraine.,tom_ruling_pof,ukraine,2022
A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,ukraine,2022
Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,meter-false,ukraine,2022
"There are “100,000 kids in cages” under the Getty art museum.",tom_ruling_pof,ukraine,2022
"“Over the past 5 years, natural gas costs have gone up over 200%” in the United States.",meter-half-true,ukraine,2022
"Kamala Harris said, “We have to acknowledge gas is high which is the opposite of low.”",meter-false,ukraine,2022
"""Ministros de Defensa de OTAN deciden invadir a RUSIA para prevenir ataque de Putin”.",meter-false,ukraine,2022
"Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”",meter-false,ukraine,2022
North Korea has taken military action against Russia.,tom_ruling_pof,ukraine,2022
"The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”",meter-false,ukraine,2022
“Norway readies its military to counter Biden.”,meter-false,ukraine,2022
"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",meter-mostly-false,ukraine,2022
"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",meter-half-true,ukraine,2022
Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,meter-false,ukraine,2022
“The Russian army has surrendered in Donetsk!”,meter-false,ukraine,2022
Vladimir Putin “is fleeing the war!”,meter-false,ukraine,2022
“Pelosi’s panel ready to arrest Trump.”,meter-false,ukraine,2022
"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,ukraine,2022
Photo shows fighting in Ukraine.,meter-false,ukraine,2022
“Chinese military convoy enters Ukraine from Russia.”,meter-false,ukraine,2022
“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,tom_ruling_pof,ukraine,2022
"""Democrats' radical green energy policies caused record gas prices. """,meter-mostly-false,ukraine,2022
"“The pope, Xi and Putin all meet to plan world events!”",meter-false,ukraine,2022
"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,ukraine,2022
Russia “has not lost anything” in its invasion of Ukraine.,meter-false,ukraine,2022
“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,ukraine,2022
“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,meter-false,ukraine,2022
El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,meter-false,ukraine,2022
Joe Biden threatened to assassinate Ukraine’s former president.,tom_ruling_pof,ukraine,2022
“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false,ukraine,2022
“US Army in Ukraine.”,meter-false,ukraine,2022
Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,meter-false,ukraine,2022
The government is arming up the IRS because “Joe Biden is raising taxes and disarming Americans.”,meter-false,ukraine,2022
“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false,ukraine,2022
“Biden threatens to assassinate Ukraine president.”,tom_ruling_pof,ukraine,2022
Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,meter-false,ukraine,2022
"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-mostly-false,ukraine,2022
Video shows Ukrainian air defenses in Sievierodonetsk shooting down “55 Ka 52 helicopters.”,meter-false,ukraine,2022
"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",meter-half-true,ukraine,2022
“Biden admits $5 gas is being done on purpose” and “this has been his plan all along.”,meter-false,ukraine,2022
“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false,ukraine,2022
"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",meter-false,ukraine,2022
"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,ukraine,2022
“Belarus declares war on Poland.”,meter-false,ukraine,2022
“Biden impeachment in progress.”,tom_ruling_pof,ukraine,2022
“Moscow was engulfed in flames” after a giant explosion.,meter-false,ukraine,2022
Ukrainian “attack destroys skyscraper in Moscow.”,meter-false,ukraine,2022
Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,ukraine,2022
The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,meter-false,ukraine,2022
Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,tom_ruling_pof,ukraine,2022
“In every other major industrial country in the world … inflation is higher.”,meter-half-true,ukraine,2022
"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false,ukraine,2022
Three mass shootings were meant to distract from Hillary Clinton controversies.,tom_ruling_pof,ukraine,2022
"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",meter-false,ukraine,2022
When Joe Biden “walked into this administration … 20 million people were on unemployment insurance benefits.”,meter-false,ukraine,2022
“Bennie Thompson actively cheer-led riots in the ’90s.”,meter-false,ukraine,2022
The official pride flag was altered to include Ukrainian colors.,meter-false,ukraine,2022
Ukraine adopted “laws banning the Russian language.”,meter-false,ukraine,2022
A BP oil executive named Brice Cromwell blamed the Biden administration for high gas prices.,tom_ruling_pof,ukraine,2022
Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,ukraine,2022
Biden gave Americans “the cheapest gas prices on Earth.”,meter-false,ukraine,2022
"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-half-true,ukraine,2022
"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",meter-half-true,ukraine,2022
"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",tom_ruling_pof,ukraine,2022
Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,ukraine,2022
“J.D. Vance profits off Russia propaganda.”,meter-half-true,ukraine,2022
Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,ukraine,2022
Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,ukraine,2022
Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,ukraine,2022
“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,ukraine,2022
"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",meter-mostly-false,ukraine,2022
A photo of Ukrainians with paintball guns proves the war is staged.,tom_ruling_pof,ukraine,2022
The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,meter-false,ukraine,2022
A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,ukraine,2022
Donations of baby formula to Ukraine helped cause the current U.S. shortage.,meter-false,ukraine,2022
"“When unemployment goes down, inflation goes up.”",meter-mostly-false,ukraine,2022
“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,tom_ruling_pof,ukraine,2022
“Finland joins NATO.”,meter-mostly-false,ukraine,2022
The NewProfilePic app is Russian spyware.,meter-false,ukraine,2022
“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,meter-half-true,ukraine,2022
Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-mostly-true,ukraine,2022
"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-mostly-false,ukraine,2022
"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,ukraine,2022
“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,ukraine,2022
NBC News “covered up Hunter Biden laptop story.”,meter-false,ukraine,2022
“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,meter-false,ukraine,2022
Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,meter-false,ukraine,2022
"Blinken, Austin trip to Kyiv may have been staged",meter-false,ukraine,2022
"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,ukraine,2022
Photo of unbroken windows proves war in Ukraine is fake.,tom_ruling_pof,ukraine,2022
Fires at food processing plants are an “attempt to starve us.”,meter-false,ukraine,2022
Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,tom_ruling_pof,ukraine,2022
A video shows the Russian warship Moskva exploding.,meter-false,ukraine,2022
“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,meter-false,ukraine,2022
"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,ukraine,2022
"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,ukraine,2022
A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,tom_ruling_pof,ukraine,2022
"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",tom_ruling_pof,ukraine,2022
"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-mostly-true,ukraine,2022
"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",meter-false,ukraine,2018
"Joe Biden's spending “has sent prices skyrocketing.""",meter-half-true,ukraine,2022
CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,tom_ruling_pof,ukraine,2022
March 2022 moon crash was orchestrated by the government and visible from Earth.,meter-false,ukraine,2022
Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,ukraine,2022
Fuel containing 15% ethanol will ruin a car engine.,meter-mostly-false,ukraine,2022
Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,meter-false,ukraine,2022
Ukraine is the “money laundering and child sex trafficking capital of the world!”,meter-false,ukraine,2022
Poland palace that Biden visited is fake.,meter-false,ukraine,2022
“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,meter-half-true,ukraine,2022
Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,ukraine,2022
"Says Tucker Carlson said, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia? I’m not saying any of this is true, I’m just asking the questions. Why can’t we ask these questions?”",meter-false,ukraine,2022
"""Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.""",tom_ruling_pof,ukraine,2022
"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,ukraine,2022
“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”,meter-false,ukraine,2022
"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,ukraine,2022
"Says Mike Gibbons said ""military service doesn't count as real work.""",meter-false,ukraine,2022
"Says Gov. Tony Evers ""tried to make us pay even more at the pump by hiking the gas tax.""",meter-half-true,ukraine,2022
The Strategic Petroleum Reserve has “been mostly empty” for decades.,meter-false,ukraine,2022
A video shows crowds shouting profanity at Joe Biden.,meter-false,ukraine,2022
"“You go to a store, they don’t have bread.”",meter-false,ukraine,2022
"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",meter-half-true,ukraine,2022
Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,ukraine,2022
"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-mostly-false,ukraine,2022
Putin beheaded bioweapon engineers in Ukraine.,tom_ruling_pof,ukraine,2022
