,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
1034,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,2022,October,22
1035,North Korea has taken military action against Russia.,meter-false,2022,October,8
1036,“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,meter-mostly-true,2022,October,10
1037,"""To call what happened on January 6 an armed insurrection, I just think is not accurate.""",meter-false,2022,October,4
1038,“Norway readies its military to counter Biden.”,meter-false,2022,October,5
1039,"“Iowans are paying $5,000 extra for everyday goods under Biden and Axne’s inflation.”",meter-mostly-true,2022,September,14
1040,Video shows Rand Paul telling Nancy Pelosi “she’s a traitor.”,meter-false,2022,October,3
1041,“I voted with Trump on trade.”,meter-mostly-true,2022,September,27
1042,“The Russian army has surrendered in Donetsk!”,meter-false,2022,September,28
1043,“Pelosi’s panel ready to arrest Trump.”,meter-false,2022,September,25
1044,Vladimir Putin “is fleeing the war!”,meter-false,2022,September,27
1045,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,2022,September,28
1046,Video shows “Italians take down an EU flag and replace it with an Italian flag” after the 2022 national election.,meter-false,2022,September,26
1047,House Democrats kicked Nancy Pelosi from office.,meter-false,2022,September,26
1048,“Joe Biden blamed Elton John for AIDS.”,meter-false,2022,September,25
1049,“Chinese military convoy enters Ukraine from Russia.”,meter-false,2022,September,18
1050,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,meter-mostly-false,2022,September,16
1051,Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,meter-false,2022,September,18
1052,Photo shows Queen Elizabeth II checking the oil of a car.,meter-false,2022,September,13
1053,"""Democrats' radical green energy policies caused record gas prices. """,meter-mostly-false,2022,August,23
1054,"“The pope, Xi and Putin all meet to plan world events!”",meter-false,2022,September,13
1055,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false,2022,September,12
1056,Photo shows Queen Elizabeth II being carried across a river by African porters.,meter-false,2022,September,8
1057,King Charles III signed “a proclamation stating that Donald Trump won the 2020 presidential election and is the rightful president by law.”,meter-false,2022,September,11
1058,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,2022,September,7
1059,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,2022,September,3
1060,El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,meter-false,2022,August,28
1061,“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,meter-false,2022,August,17
1062,“US Army in Ukraine.”,meter-false,2022,August,17
1063,"Image shows ""Florida's anti-woke banned book list.""",meter-false,2022,August,21
1064,"Video shows Steve Bannon crying, “Trump is going to jail.”",meter-false,2022,August,16
1065,"“Democrats are voting to add an army of 87,000 IRS agents who will target middle class taxpayers and conduct at least 1 million more audits each year. ”",meter-mostly-false,2022,August,10
1066,Rep. Adam Kinzinger “admits Trump won” the 2020 presidential election.,meter-false,2022,August,15
1067,Empty store shelves at a Walmart in South Carolina were because of a meat shortage.,meter-false,2022,July,29
1068,“Ted Cruz leaks new document obtained from Hunter’s laptop implicating Nancy Pelosi.”,meter-false,2022,August,8
1069,“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”,meter-false,2022,July,31
1070,"""Karrin Taylor Robson gave illegals tuition discounts and made us pay for it.""",meter-mostly-true,2022,July,7
1071,"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""",meter-false,2022,July,10
1072,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-mostly-false,2022,June,23
1073,"""Thanks to failed Dem policies, beer is 9.1% more expensive.""",meter-mostly-true,2022,June,28
1074,“High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.”,meter-false,2022,June,29
1075,There are no artifacts to prove that slave ships existed.,meter-false,2022,July,9
1076,"Sri Lanka’s president, Estonia’s prime minister and Ukrainian diplomats were arrested.",meter-false,2022,July,11
1077,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
1078,“Belarus declares war on Poland.”,meter-false,2022,July,8
1079,Video shows Joe Biden putting a Medal of Honor on a Vietnam War veteran backward.,meter-false,2022,July,6
1080,“Moscow was engulfed in flames” after a giant explosion.,meter-false,2022,July,6
1081,Ukrainian “attack destroys skyscraper in Moscow.”,meter-false,2022,July,4
1082,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,2022,July,3
1083,The cost of a Fourth of July cookout in 2022 increased by 67.2% because of inflation.,meter-false,2022,July,4
1084,Video claims Moscow turned into “sea of fire after being attacked by two mysterious missiles.”,meter-false,2022,June,28
1085,“In every other major industrial country in the world … inflation is higher.”,meter-mostly-true,2022,June,16
1086,"""The impact of President Biden being beholden to the Green New Deal radicals in his party has electricity costs through the roof in Texas.""",meter-false,2022,June,4
1087,"Soviet and Chinese communists have “grabbed control” of U.S. entertainment, movies, television, music, academia, K-12 education and the news media.",meter-false,2022,June,12
1088,"Blake Masters “unironically quoted a Nazi, called World War II an unjust war, called the Unabomber one of his intellectual influencers, and shared an article attacking Israel as the North Korea of the Middle East.”",meter-mostly-true,2022,June,2
1089,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,2022,June,29
1090,Biden gave Americans “the cheapest gas prices on Earth.”,meter-false,2022,June,2
1091,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-mostly-true,2022,May,26
1092,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",meter-mostly-true,2022,May,9
1093,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,2022,May,23
1094,“J.D. Vance profits off Russia propaganda.”,meter-mostly-true,2022,May,10
1095,Monkeypox is biological warfare “against us by our governments.”,meter-false,2022,May,21
1096,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,2022,May,22
1097,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,2022,May,19
1098,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,2022,May,18
1099,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,2022,May,18
1100,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",meter-mostly-false,2022,May,10
1101,A photo of Ukrainians with paintball guns proves the war is staged.,meter-false,2022,May,16
1102,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,meter-false,2022,May,11
1103,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,meter-false,2022,May,9
1104,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,2022,May,13
1105,"“When unemployment goes down, inflation goes up.”",meter-mostly-false,2022,May,15
1106,“Finland joins NATO.”,meter-mostly-false,2022,May,15
1107,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-mostly-true,2022,May,12
1108,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-mostly-false,2022,February,18
1109,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",meter-mostly-false,2022,April,28
1110,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",meter-true,2022,May,8
1111,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,2022,May,5
1112,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,2022,April,30
1113,“Canada’s new law allows government to take children away if parents don’t accept kids’ ‘gender identity.’”,meter-false,2022,April,24
1114,"“Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”",meter-false,2022,April,26
1115,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,meter-false,2022,April,27
1116,"Blinken, Austin trip to Kyiv may have been staged",meter-false,2022,April,25
1117,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,2022,April,27
1118,Photo of unbroken windows proves war in Ukraine is fake.,meter-false,2022,April,23
1119,Fires at food processing plants are an “attempt to starve us.”,meter-false,2022,April,22
1120,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false,2022,April,23
1121,Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”,meter-false,2022,April,24
1122,A video shows the Russian warship Moskva exploding.,meter-false,2022,April,14
1123,“J.D. Vance called for higher taxes.”,meter-mostly-true,2022,April,12
1124,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,2022,April,16
1125,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,2022,April,18
1126,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false,2022,April,16
1127,"Joe Biden's spending “has sent prices skyrocketing.""",meter-mostly-true,2022,April,13
1128,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false,2022,April,15
1129,"Dave McCormick is ""liberal, pro-Biden, pro-China.""",meter-false,2022,April,12
1130,George Soros injected “$33 million” into Black Lives Matter.,meter-false,2022,April,9
1131,"Says Adolf Hitler said, “The day mankind finds out what I was trying to defend this nation, Germany, from, then that’s the day World War III starts.”",meter-false,2022,April,12
1132,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,2022,April,13
1133,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,meter-false,2022,March,26
1134,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed.""",meter-false,2022,April,11
1135,Poland palace that Biden visited is fake.,meter-false,2022,April,6
1136,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.,meter-false,2022,April,8
1137,"""The price of insulin has been jacked up by Big Drug Corporations.”",meter-mostly-true,2022,March,16
1138,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,2022,February,27
1139,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,2022,April,2
1140,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,2022,April,3
1141,The Strategic Petroleum Reserve has “been mostly empty” for decades.,meter-false,2022,March,31
1142,"“You go to a store, they don’t have bread.”",meter-false,2022,March,29
1143,"“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”",meter-mostly-true,2022,March,19
1144,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,2022,March,28
1145,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-mostly-false,2022,March,20
1146,"In 1975, then-U.S. Sen. Joe Biden opposed efforts by President Gerald Ford to aid South Vietnam and evacuate refugees.",meter-mostly-false,2022,March,8
1147,"""David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.""",meter-mostly-false,2022,March,17
1148,Gas prices are high “due to the Democrats’ war on fossil fuels.”,meter-mostly-false,2022,March,18
1149,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-mostly-true,2022,March,17
1150,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,2022,March,5
1151,A photo of President Joe Biden leaving for Europe that the White House tweeted wasn’t actually taken on March 23.,meter-false,2022,March,23
1152,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,2022,March,21
1153,Ukrainian President Volodymyr Zelenskyy wore a Nazi cross symbol.,meter-false,2022,March,16
1154,"""Documents were published confirming Moderna created the COVID-19 Virus.”",meter-false,2022,March,14
1155,Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as “war criminals in a legal filing.”,meter-mostly-true,2022,March,22
1156,News networks covered Brett Kavanaugh’s confirmation hearing live but not Ketanji Brown Jackson’s hearing.,meter-false,2022,March,22
1157,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false,2022,March,11
1158,"Mo Brooks ""voted to cut off funding to destroy ISIS terrorists in the middle of the fight.""",meter-mostly-false,2022,March,11
1159,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,2022,March,20
1160,Photos show “Ukrainian farmers are slowly starting to build their own army.”,meter-false,2022,March,16
1161,Russian President Vladimir Putin “was assassinated.”,meter-false,2022,March,19
1162,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,2022,March,14
1163,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,2022,March,2
1164,"A photo shows ""NATO resupplying Ukrainian farmers anti-tank supplies.""",meter-false,2022,March,10
1165,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false,2022,March,15
1166,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,2022,March,13
1167,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,2022,March,15
1168,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,2022,March,15
1169,“We haven’t seen a single American megachurch offer anything to help Ukrainians.”,meter-false,2022,March,7
1170,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,meter-mostly-true,2022,March,14
1171,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-mostly-true,2022,March,14
1172,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,2022,March,9
1173,"Vice President Kamala Harris ""was asked about gasoline prices ... and she tried to defer to President Duda, the Polish president.""",meter-false,2022,March,13
1174,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,2022,March,13
1175,Video shows man mocking police in Germany.,meter-false,2021,December,14
1176,This video shows “Russian war in Ukraine.”,meter-false,2022,March,7
1177,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""",meter-mostly-false,2022,March,2
1178,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
1179,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,2022,March,6
1180,A Time magazine cover shows Vladimir Putin with Hitler’s mustache.,meter-false,2022,March,2
1181,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,2022,March,6
1182,"""Gas is high because they shut down production in the U.S.” under the Biden administration.",meter-false,2022,March,7
1183,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,2022,March,2
1184,Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,meter-false,2022,March,6
1185,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,2022,February,28
1186,The war in Ukraine is “scripted and staged.”,meter-false,2022,February,25
1187,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-mostly-true,2022,March,1
1188,Image shows Ukrainian President Volodymyr Zelensky “has joined the front lines with his troops.”,meter-false,2022,February,27
1189,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,2022,February,28
1190,“I’ve been in and out of Iraq and Afghanistan over 40 times.”,meter-false,2022,March,1
1191,"""The Russian army does not occupy Ukrainian territory.""",meter-false,2022,March,1
1192,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,meter-mostly-false,2022,March,1
1193,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,2022,February,26
1194,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,2022,March,25
1195,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,2022,February,24
1196,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”,meter-mostly-false,2022,February,22
1197,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
1198,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",meter-true,2022,February,16
1199,Video shows footage from Russia invading Ukraine.,meter-false,2022,February,24
1200,"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”",meter-mostly-true,2022,February,20
1201,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,2022,February,24
1202,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,2022,February,24
1203,"This ""footage"" shows Russia attacking Ukraine.",meter-false,2022,February,24
1204,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,2022,February,19
1205,“Russia has never attacked anyone throughout its history.”,meter-false,2022,February,20
1206,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",meter-false,2022,February,19
1207,Turning Point USA is a white nationalist organization.,meter-false,2022,February,6
1208,"""One in 13 Black Americans are deprived of the right to vote.""",meter-mostly-true,2022,February,9
1209,"“A grand jury trial begins into crimes against humanity"" involving a fabricated coronavirus pandemic.",meter-false,2022,February,6
1210,"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",meter-false,2021,December,29
1211,"“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”",meter-mostly-true,2022,January,31
1212,"Joe Biden's “$4 trillion” Build Back Better bill is ""the largest expansion of welfare programs in 60 years.""",meter-mostly-true,2022,January,19
1213,"""The Holocaust isn't about race. No, it's not about race.""",meter-false,2022,January,31
1214,Quotes show Joseph Stalin and Joe Biden expressed similar views about counting votes.,meter-false,2022,January,24
1215,"“Every 37 seconds, someone is arrested for possession of marijuana.”",meter-mostly-false,2022,January,18
1216,Richard von Coudenhove-Kalergi planned “the ethnocide of the peoples of Europe” through “the encouragement of mass non-white immigration.”,meter-false,2021,November,21
1217,"“There (are) over 800 prison camps in the United States, all fully operational and ready to receive prisoners. They are all staffed and even surrounded by full-time guards, but they are all empty. These camps are to be operated by FEMA.”",meter-false,2022,January,19
1218,“People are 7% poorer now because of Biden inflation.”,meter-mostly-false,2022,January,16
1219,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",meter-true,2021,December,2
1220,"""Japan drops all vaxxine mandates, places myocarditis warning on label.""",meter-mostly-false,2022,January,6
1221,"Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women.""",meter-false,2022,January,4
1222,"Actions by Joe Biden left ""10,000 - 15,000 American citizens abandoned to terrorists in Afghanistan.""",meter-mostly-false,2021,December,7
1223,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.,meter-false,2021,December,27
1224,“I’ve been against that war in Afghanistan from the very beginning.”,meter-false,2021,December,12
1225,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",meter-false,2021,December,8
1226,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",meter-false,2021,December,5
1227,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",meter-false,2021,December,5
1228,Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,meter-false,2021,November,27
1229,The Build Back Better bill provides “'parole' amnesty for millions of criminal illegal aliens.”,meter-mostly-false,2021,November,15
1230,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”,meter-false,2021,November,18
1231,The military took over the mainstream media.,meter-false,2021,November,17
1232,"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""",meter-false,2021,November,8
1233,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”,meter-mostly-false,2021,October,26
1234,"“Jan. 6 is being used as a pretext to strip millions of Americans, disfavored Americans, of their core constitutional rights.”",meter-false,2021,November,1
1235,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”,meter-false,2021,October,27
1236,“The White House referred to Christmas trees as Holiday Trees for the first time this year.”,meter-false,2021,October,17
1237,"Terry McAuliffe has a campaign sign that says, “Keep parents out of classrooms.”",meter-false,2021,October,24
1238,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,meter-mostly-true,2021,October,21
1239,"Two forms of fluoride in our drinking water “are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans.""",meter-false,2021,October,15
1240,"""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all.""",meter-mostly-true,2021,August,29
1241,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",meter-mostly-true,2021,October,5
1242,"The government pays out ""$2,125/month in refugee benefits to refugees resettled in the United States,"" while Social Security recipients “who have paid into the system their whole lives receive $1,400/month on average.""",meter-mostly-false,2021,September,26
1243,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,meter-mostly-true,2021,September,22
1244,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,meter-mostly-true,2021,September,18
1245,"“Democrats are responsible for the massive spending and debt growth, they alone need to take responsibility for raising the debt limit.”",meter-mostly-false,2021,September,23
1246,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",meter-mostly-true,2021,September,23
1247,“President Biden has created more jobs in his first 7 months than any POTUS in history.”,meter-mostly-true,2021,September,3
1248,The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”,meter-mostly-true,2021,August,15
1249,Photo shows a gravestone in Japan with a QR code.,meter-false,2021,September,14
1250,Says 2010 video clip showing coffins in a field proves “COVID was planned.”,meter-false,2021,September,9
1251,U.S. veteran group rescued Afghan allies “behind Biden’s back.”,meter-false,2021,August,27
1252,"The U.S. left the Taliban an “arsenal” in Afghanistan, including 358,530 assault rifles and 22,174 Humvees.",meter-mostly-false,2021,August,29
1253,"The Trump administration worked to free 5,000 Taliban prisoners.",meter-true,2021,August,29
1254,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",meter-true,2021,August,16
1255,"""Norfolk naval base has been taken by NATO.""",meter-false,2021,August,1
1256,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,meter-mostly-true,2021,August,20
1257,Former President Donald Trump “was blocked from getting troops out of (Afghanistan) by Liz Cheney and others.”,meter-mostly-false,2021,August,17
1258,Says “31 U.S. troops” were “killed in Afghanistan yesterday.”,meter-mostly-false,2015,August,10
1259,The Biden administration “gifted the Taliban with $80 billion-plus” in military-grade weapons but now “wants your 9mm pistols.”,meter-false,2021,August,17
1260,"COVID-19 vaccinations are “a violation of the Nuremberg code.""",meter-false,2021,August,16
1261,“Joe Biden is on a two-week vacation. Kamala Harris has been nonexistent since Inauguration Day. Jen Psaki is taking a break from her duties as press secretary for one week.”,meter-mostly-false,2021,August,16
1262,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”,meter-false,2021,August,9
1263,Joe Biden intentionally “let it fall apart” in Afghanistan because he “wants a couple hundred thousand more Ilhan Omars to come into America to change the body politic permanently.”,meter-false,2021,August,16
1264,"The man next to Mike Pompeo in a November 2020 photo “is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan.""",meter-mostly-true,2021,August,17
1265,"Donald Trump in 2020 ""said he trusted the Taliban and then set in motion an even earlier exit"" from Afghanistan.",meter-mostly-true,2021,August,15
1266,“George Washington mandated smallpox vaccines for the Continental Army.”,meter-mostly-true,2021,July,29
1267,U.S. sanctions mean “Cuba can’t trade with any country or any company whatsoever.”,meter-false,2021,July,12
1268,"“We know most of our forefathers, all of our main Founding Fathers were against slavery, recognized the evils of it.”",meter-mostly-false,2021,July,6
1269,"“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”",meter-mostly-true,2021,July,2
1270,Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,meter-false,2021,July,5
1271,Says people are moving to Milwaukee “in record numbers”,meter-mostly-false,2021,June,23
1272,“The national debt is now bigger than our economy. That hasn’t happened since World War Two – and we’re in peacetime. Joe Biden is digging a hole America can never fill.”,meter-mostly-true,2021,June,28
1273,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”",meter-false,2021,June,23
1274,Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”,meter-false,2021,June,23
1275,A 9-0 Supreme Court ruling is very rare.,meter-false,2021,June,21
1276,Says withdrawing troops from Afghanistan could save the U.S. $50 billion.,meter-mostly-false,2021,May,21
1277,“The Eisenhower interstate system requires that one mile in every five must be straight.”,meter-false,2021,June,6
1278,Says U.S. Rep. Ron Kind has “spent more $ in 100+ days than was spent fighting WWII,meter-false,2021,May,11
1279,The New York Times published an old stock photo of a young girl and claimed Israeli forces killed her during its recent war with Hamas.,meter-mostly-true,2021,May,29
1280,“Not one word” from Joe Biden and Kamala Harris honoring service members for Memorial Day.,meter-false,2021,May,30
1281,"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”",meter-false,2021,May,22
1282,“The very first Republican convention after the Civil War was held in Virginia in a Black church.”,meter-false,2021,May,13
1283,“The minions from ‘Despicable Me’ are based off of these Jewish children tortured by Nazis during the Holocaust.”,meter-false,2021,May,18
1284,Photo shows an anti-Israel activist holding a photo of Adolf Hitler.,meter-false,2021,May,17
1285,Caitlyn Jenner “literally killed someone 6 years ago in the streets and was released by a District Attorney.”,meter-mostly-false,2021,April,25
1286,60% of new COVID-19 patients are people who received the vaccine.,meter-false,2021,April,22
1287,"Sen. Joni Ernst's visual aid said liberals wanted to abolish lasagna, among other things.",meter-false,2021,April,28
1288,“Biden is currently sending more military equipment to our neighborhoods than Trump did.”,meter-false,2021,April,20
1289,“A quarter of a million illegal votes found in Arizona’s audit.”,meter-false,2021,April,26
1290,"A video shows Kim Jong Un calling Joe Biden a ""thug,"" a ""coward,"" and ""mentally unstable"" in a speech.",meter-false,2021,March,7
1291,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,2021,April,12
1292,“56 million defenseless people ‘rounded up and exterminated’ in the 20th Century because of gun control.”,meter-false,2021,March,30
1293,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”,meter-mostly-true,2021,March,26
1294,Georgia’s new voting law “makes it a JAIL-TIME CRIME to drop off grandma’s absentee ballot in a dropbox.”,meter-false,2021,March,29
1295,“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”,meter-mostly-false,2021,March,23
1296,"In Aberdeen, Miss., “Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”",meter-mostly-true,2021,March,3
1297,Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”,meter-mostly-false,2021,February,9
