,claim
2594,"Says Newt Gingrich ""supports amnesty for illegal immigrants."""
2599,"Says President Obama ""helped more than half a million veterans and military family members go to college through the Post-9/11 G.I. Bill."""
2609,Says Newt Gingrich is responsible for the gridlocked politics of Washington.
2612,"In Iraq, ""violence is down to an all-time low"" since the start of the war."
2614,"Newt Gingrich’s immigration plan offers ""a new doorway to amnesty."""
2615,"""A part-time Congress with half the pay would still make $38,000 a year more than the average American family."""
2616,Says Mitt Romney has flip-flopped on his support for President Reagan’s policies.
2618,"""When you sanction the Iranian central bank, that will shut down (Iran's) economy."""
2622,"""The Confederate battle flag never flew over Texas, but... you might soon see it on our license plates."""
2623,"In Libya, ""America spent $2 billion total and didn’t lose a single life."""
2624,"""Because of Barack Obama the mission in Iraq ended."""
2626,"""After every major conflict ... what happened was that we ultimately hollowed out the force, largely by doing deep, across-the-board cuts."""
2627,"Every month since 9/11, there have been as many suicide attacks against the United States and its allies as there were in all the years leading up to 9/11."
2628,"Says Anthropology is a STEM (science, technology, engineering, math) field."
2629,"""We buy 35 percent of all Chinese exports."""
2631,Says David Dewhurst accused Cruz of being a Red Chinese Communist.
2638,"""$360 million of our tax dollars went straight to ... the Taliban."""
2639,"The U.S. military ""is in 130 countries. We have 900 bases around the world."""
2640,"""Issue 2 makes it illegal for us to negotiate for enough firefighters to do the job."""
2641,"Thomas Jefferson expressed ""strong support"" for a balanced budget amendment in 1798."
2642,"Sherrod Brown ""has stood side by side"" with President Barack Obama, presiding ""over the most rapid increase in the debt over the last 2.5 years"" and hurtling toward "" the worst jobs record in the modern era."""
2644,"The United States ""won every major battle"" of the Vietnam War. ""Every single one."""
2649,"Says the national debt and President Barack Obama's ""refusal to control spending led to our nation's credit rating being downgraded for the first time in history."""
2651,"U.S. debt is ""now equal to 100 percent of the GDP."""
2653,"The deal to raise the federal debt limit created the ""largest debt ceiling increase in America’s history."""
2654,"""Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II."""
2655,"""As a percentage of our gross domestic product, the defense budget remains just 3.6 percent. This figure is low by all historical standards."""
2659,"""If the debt ceiling is surpassed, our nation will not go into default as some suggest."""
2661,"""Recently we have seen our government debt grow by $3.4 trillion during the first 29 months of the Obama administration -- the equivalent of about $4 billion per day."""
2664,"""Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts."""
2665,"""This past (legislative) session, we passed out of the Legislature a resolution requiring Congress to pass a balanced-budget amendment to the (U.S.) Constitution."""
2666,"""Most countries have no debt ceiling."""
2667,"""The nonpartisan CBO, Congressional Budget Office, has said that the No. 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the Bush tax cuts in 2001 and 2003."""
2669,"""Every president has raised the debt ceiling."""
2670,"""We have not had unemployment this high for this long since the Great Depression."""
2671,"Says that, unlike the U.S. Senate, ""even the Libyan government, in the middle of a civil war, passed a budget on June 15, 2011"""
2673,"Says for the first time in the history of the United States, the government cut taxes during wartime"
2675,"""In our proposal, we would have expanded school aid across the board … Governor Christie slashed school aid in this budget, preferring instead to extend a tax break for millionaires over funding in the classroom."""
2677,"From 1947 to 1979, family incomes for rich, middle-income and poor Americans grew about the same rate. But since 1979, incomes for rich families have grown much faster."
2684,"""If you're a … wealthy CEO or a … hedge fund manager in America right now, your taxes are … lower than they've been since the 1950s."""
2687,"In the first 24 to 36 hours of the operation in Libya, ""you saw $115 million go downrange because a Tomahawk cruise missile is a little over $1 million each."""
2688,"""Since June 2009, about 48 percent of all the jobs created in America were in Texas."""
2692,"""When the union says I want to eliminate tenure, that’s not true."""
2696,"""Anywhere in the world, when someone uses a mobile phone, e-mail, the Internet or GPS, they are enjoying the benefits of the American miracle."""
2699,"Says 1,000 World War II veterans die every day."
2700,"""When I became president and CEO of Godfather’s Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles."""
2709,"Says the United States is ""the Saudi Arabia of coal."""
2712,"""A gallon (of gasoline) delivered to the front lines for our troops in Afghanistan cost more than $400."""
2713,"""The Arab and the Muslim nations get twice as much money as Israel."""
2714,"""Eighty-seven percent of private insurance plans currently include (abortion) coverage."""
2719,"Wrote that in 2006, Nancy Pelosi said she didn’t think capturing Osama bin Laden ""makes us any safer,"" but in 2011 called his killing ""historic."""
2720,"""Bin Laden had declared war against Pakistan."""
2723,"Says Paul Ryan ""voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for."""
2724,"""Iraq has the second-largest oilfields in the world (behind) Saudi Arabia."""
2729,"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases."""
2730,"To pay for government growth, leaders of both parties ""borrowed $4 billion a day, leaving us with today's $14 trillion debt."""
2735,"""Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war."""
2737,Says new EPA water regulations would force the state to make drainage canals every bit as clean as pristine Florida river systems.
2738,"""Regime change (in Iraq) took eight years"""
2741,"Says ""legislation pending in the House would effectively limit or eliminate ‘time-and-a-half’ for people who work overtime."""
2742,"Studies have shown that in the absence of federal reproductive health funds, we are going to see the level of abortion in Georgia increase by about 44 percent."
2745,"The GOP budget plan ""would cut nearly a million jobs."""
2746,"The House budget plan proposes ""the largest discretionary spending cut in history."""
2747,"""Put simply, less government spending equals more private sector jobs."""
2748,"Says that President Obama said in 2008 that his proposed greenhouse gas regulations ""will bankrupt"" anyone who wants to build a new coal-fired power plant."
2749,"""Democrats have now become the party of the [Atlanta] metro area and of blacks."""
2750,Tapping the Strategic Petroleum Reserve would immediately lower gasoline prices
2751,"Under Gov. Scott Walker’s proposals, ""Money is being taken away from workers, and the tax breaks given to major corporations. """
2759,"Americans, in the last 30 years, ""have more than doubled the amount of money we are spending per child (on education) … and the results have gotten worse, not better."""
2763,"Since Sept. 11, 2001, ""270,000 Americans were killed by gunfire at home."""
2767,"Many of the 9/11 conspirators came from the Muslim Brotherhood, including Osama bin Laden, Ayman Zawahiri and Khalid Sheikh Mohammed."
2771,"Poll results from the past 35 years show that State of the Union speeches ""do not move"" presidential approval numbers."
2779,"""There hasn't really been a lot of net growth in the federal workforce when you compare it to say, 1990."""
2786,"The Bush-era tax cuts failed to increase employment and ""work-force participation fell in 2001 and has never returned to the record level set in 2000."""
2787,"""The senior senator from Arizona (John McCain) said he couldn't support repealing 'don't ask, don't tell' because of the economy."""
2788,"A ban on earmarks greatly weakens the authority Congress has over spending, to the benefit of the executive branch."
2789,"Obama's position on nuclear arms is a ""march toward global zero."""
2790,"Said the Washington Post argued that a failure to pass the START treaty this year would be ""no calamity,"" and that the Associated Press said ""the administration concedes the security risk is not immediate."""
2791,"Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more."
2796,"""My debt to GDP was the lowest or one of the lowest of modern presidents. My taxes to GDP was the lowest and my spending to GDP"" was too."
2799,"Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had ""standing orders"" not to inquire into the immigration status of people unless they're under arrest."
2801,"Says John Raese said he wants ""1,000 laser systems put in the sky, and we need it right now."""
2808,Republican candidate for governor Nathan Deal fought to weaken Georgia's rape shield law.
2809,"Says Republican Reid Ribble says stimulus bill failed to jumpstart the economy, but his ""roofing company made almost $300,000 off stimulus funded projects."""
2811,"Says Scott Walker ""eliminated his own office of economic development in the middle of this recession."""
2812,"Says Tom Ganley has been ""sued over 400 times, for fraud, discrimination and more,"" and ""a judge called Tom Ganley's business practices ""deceptive and unconscionable."""
2814,"""Since Debbie Halvorson has been in politics, Illinois has lost hundreds of thousands of jobs."""
2817,"""The Republican candidate [John Loughlin] has talked about privatizing Social Security ... so we know where he stands on the issue."""
2818,"U.S. Sen. Johnny Isakson ""has never proposed, nor voted in favor of, a substantial cut in federal spending"" and has voted for ""many substantial increases in federal spending."""
2819,"When Tallahassee politicians and bureaucrats tried to run our schools, ""I've stood up to them to protect local control."""
2825,"Due to the war in Iraq, ""4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome."""
2826,"""There have been more terrorist attacks on U.S. soil by ... Muslims in Obama's first 18 months in office than in the six years under Bush after he invaded Iraq."""
2829,"""My supporters aren't special interest groups in Madison and Milwaukee."""
2830,"""The president's party always gets shellacked in midterms. It's only twice, 1934 and 2002, that the president's party actually gained in both the House and the Senate."""
2834,"""The Great Lakes Compact has a loophole. And the loophole is that while you cannot remove the water in a big transport, you can remove it in containers of 5.7 gallons or less."""
2838,"""Jim Renacci supports a national sales tax of 23 percent."""
2840,"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent."
2841,"""We know that tax cuts are remarkably un-stimulative when you compare them with different kinds of government spending."""
2844,"Because of violence spreading from Mexico, ""you’ve got bullets hitting the city hall in El Paso. You’ve got bombs exploding in El Paso."""
2845,"""The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits, $1.90 is put into our economy."""
2847,"The Bush administration ""pulled the troops out of Afghanistan, pulled the resources away, because they wanted to invade Iraq instead."""
2854,"""We're not engaged in nation-building"" in Afghanistan."
2858,"Under President George W. Bush, the U.S. had ""52 months of ... uninterrupted job creation"" and ""revenues were at an all-time high in 2007."""
2862,"John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate."""
2864,"""Today, we have more boots on the ground near the Southwest border than at any time in our history."""
2870,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich."""
2871,"""Bill White has a long history of trying to limit or even disenfranchise military voters."""
2872,"The final pitch of Don Larsen's perfect game in the 1956 World Series ""was a foot and half probably high and outside."""
2875,"Halliburton defrauded American taxpayers of ""hundreds of millions of dollars in Iraq."""
2882,"In Afghanistan ""the (military) leadership has proposed a new medal, an award for 'Courageous Restraint' ... for 'NOT FIRING BACK.' """
2883,"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization."""
2884,"The Treaty of Tripoli signed by President John Adams was ""his outreach to Muslims."""
2886,"Says he said last year there's ""absolutely no reason"" for Texas to secede."
2890,"""Florida Statutes require (Attorney General Bill) McCollum to consult with members of Florida's Congressional delegation"" before filing a lawsuit against the health care reform law."
2891,"""The video doesn't show the broader picture of the firing that was going on at American troops."""
2894,"""The most private question on this year’s form asks for an individual’s race, and that question has been asked by every census since the 1790 census conducted under then-President George Washington."""
2900,"A national poll found that among people who oppose the Democratic health care reform bill, ""almost 40 percent"" opposed it not because it goes too far, but because ""they don’t think it goes far enough. ... They will not be unhappy when we pass health care reform."""
2909,"Reconciliation was used ""for tax cuts for the rich twice under Bush."""
2911,"U.S. Rep. Alan Grayson ""compared a former vice president to a vampire ... and compared America's health care system to the Holocaust."""
2913,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist."""
2916,"""Thomas Jefferson created the Marines for the Islamic pirates that were happening."""
2918,"""The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household."""
2919,"""At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade."""
2920,"The ""pay-as-you-go law ... was a big reason why we had record surpluses in the 1990s."""
2922,"In Massachusetts, Scott Brown's Republican affiliation is ""not a secret, but clearly not on display."""
2923,Obama's job approval rating is up.
2924,"When President Bush took office in 2001, he inherited a $236 billion budget surplus, with a projected 10-year surplus of $5.6 trillion. When he ended his term, he left a $1.3 trillion deficit and a projected 10-year shortfall of $8 trillion."
2927,"The Obama administration ""raised discretionary spending by 24 percent from President George W. Bush's last full-year budget and will run up more debt by October than Bush did in eight years."""
2929,"""Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt."""
2932,"President Obama has ""the worst ratings of any president at the end of his first year."""
2936,"A new Republican litmus test ""would have resulted in (the GOP) kicking out Ronald Reagan."""
2937,"""If you want to talk firsts for Bush, this was the first time in American history that a president took us into a war and cut taxes."""
2939,"The health care bills will be ""mandated spending. You can't cut it, regardless of the budget circumstances."""
2946,"""Democrats rang up a $1.42 trillion budget deficit in 2009 — the single largest in American history."""
2950,"""The Defense Department received only one-half of 1 percent of the nearly trillion-dollar stimulus package funding."""
2951,"The Obama administration is ""cutting back on defense"""
2952,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal."""
2954,"Van Jones signed a petition indicating he ""thinks the Bush administration blew up the World Trade Center and covered it up."""
2956,"Under President George W. Bush, the U.S. ""spent $1.3 trillion on tax cuts for the wealthy"" and ""trillions"" each on a war and on Medicare drug benefits."
2957,"""Under the new and little known 'global justice' initiative,"" the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield."""
2961,"""Medicare and Medicaid are the single biggest drivers of the federal deficit and the federal debt by a huge margin."""
2965,"Pay-as-you-go ""is the principle that helped transform large deficits into surpluses in the 1990s."""
2966,"""The Geneva Convention did not apply, until 2005, to the war on terror."""
2968,"""More than 90 percent of the guns recovered in Mexico come from the United States."""
2969,"""President Obama is actually increasing Bush-era defense spending by $21 billion in the new fiscal year."""
2978,"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package."""
2979,"The Senate version of the economic stimulus package includes ""millions of dollars to World War II Filipino veterans in the Philippines."""
2987,"""Obama held one of the first meetings of his political career in Bill Ayers's home. And they've worked together on various projects in Chicago."""
2992,"McCain ""said the other day that he would not meet potentially with the prime minister of Spain, because he . . . wasn't sure whether they were aligned with us."""
2993,"John McCain ""has threatened extinction for North Korea and sung songs about bombing Iran."""
2997,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq."
3009,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us."""
3010,"The Bush administration's latest plans for troop withdrawal from Iraq by 2011 are ""more or less the same time frame I announced two years ago."""
3013,"Says McCain ""supported George Bush's policies 95 percent of the time."""
3018,"""First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge."""
3023,"""We now have a pro-American president in France, which shows if you live long enough, anything can happen in this world."""
3026,"Obama ""voted against funding our troops."""
3027,"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973."""
3038,"We're borrowing money from China and Saudi Arabia ""to finance this war"" in Iraq."
3039,"""George Bush, and a Republican Congress, have presided over a 55 percent increase in the size of domestic government spending in the last seven years."""
3042,"""Casualties and deaths are at (their) lowest point since literally the beginning"" of the war."
3044,"""Ronald Reagan met with Gorbachev; Kennedy met with Khruschev; and Nixon met with Mao — and these were folks who have done horrendous damage not only to their own countries but to other countries."""
3048,"""I had an uncle ... who was part of the first American troops to go into Auschwitz and liberate the concentration camps."""
3054,"McCain ""voted against a bill to ban waterboarding, and then applauded President Bush for vetoing that ban."""
3055,"""Obama himself voted against funding our nation's veterans and troops in the field during a time of war."""
3056,"""For what we spend in just one week in Iraq, 800,000 children could get health insurance for an entire year."""
3058,"The Rev. Wright compared ""the United States Marine Corps with Roman legionnaires who were responsible for the death of our Savior."""
3071,"John McCain and George W. Bush want to spend ""a trillion dollars in Iraq over the next 10 years."""
3073,"""I've been standing up against ... the Chinese government over women's rights and standing up for human rights."""
3078,"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war."""
3080,The DNC says McCain flip-flopped on whether the Iraq War would be easy.
3083,"""George Bush sent people to war without body armor."""
3087,"""Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren."""
3089,"Hillary Clinton wants to ""wave the white flag of surrender and set a date for withdrawal."""
3090,"""Bill Clinton's peace dividend . . . cut the military 25 and 30 percent."""
3093,"Barack Obama ""said in 2004 there was no difference between (Obama) and George Bush on the war."""
3095,"""There's not a major bill I know with Hillary's name on it."""
3097,"""Bill Clinton cut the military drastically."""
3099,"""If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago."""
3106,"""America never made up for the gutting of the intelligence services that Bill Clinton did. I think those are (former CIA director George) Tenet's words ... that Bill Clinton gutted American intelligence."""
3109,"Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue."""
3110,"""Fences have not worked. The Great Wall of China, the Berlin Wall. That's not good among peoples, especially friends like the United States and Mexico."""
3111,"""The founders advised non-interventionism."""
3112,"President Clinton ""reduced the scale of our military dramatically."""
3113,"""First, he was in favor of my plan, now he's attacking it."""
3114,"""With the resources it takes to execute just over three months of the Iraq war, we could fully fund the expansion of health care for needy children that Bush vetoed."""
3119,"""21-million Americans could have a four-year college scholarship for the money we've squandered in Iraq. 7.6-million teachers could have been hired last year if we weren't squandering this money."""
3120,"""And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized..."""
3121,"""When NAFTA was passed, there was an acceleration of immigration from Mexico because people were
in search of jobs."""
3125,"""I'm the first person who really took up the issue of the war. Four years ago I said that there was no proof that Iraq had weapons of mass destruction, and, actually... did an analysis which disproved the cause for the war."""
3126,"Barack Obama supported keeping troops in Iraq, but now he wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad."
3127,"""Barack Obama and Hillary Clinton have changed their positions (on the Iraq war withdrawal) to follow Chris Dodd."""
3134,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia."""
3135,"“Amy Klobuchar vows to resettle 500 percent more refugees, none in her neighborhood.”"
3144,"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed."""
3154,"""So far this year, more students have been killed in schools than soldiers in combat zones."""
3159,"Say Sean Hannity said in 2008 that Obama’s willingness to meet with North Korea was ""disturbing"" while Trump’s ""willingness to meet with North Korea is a huge foreign policy win."""
3163,"Says one year later, ""the coalition to defeat ISIS has liberated very close to 100 percent of the territory just recently held by these killers in Iraq and Syria."""
3165,"""Ending (Temporary Protected Status) and deporting legal workers would cost the United States ~$164 billion in GDP over a decade."""
3166,"Says the New York bike path assault ""was the ninth vehicle assault used by ISIS."""
3176,"Says ""72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA & YEMEN."""
3178,"The seven nations identified in Donald Trump's travel ban were ""identified by the Obama administration as the seven most dangerous countries in the world in regard to harboring terrorists."""
3182,"""The Obama Administration agreed to take thousands of illegal immigrants from Australia."""
3188,"""President-elect Trump's immigration policies are very similar to policies that are sitting right in the Senate and the House today to temporarily suspend immigration from countries that harbor terrorism, to temporarily suspend immigration from Syria until we get better vetting."""
3193,"""Just 9 percent of Muslims in Pakistan view ISIS favorably. Unfortunately, that 9 percent is 16 million people. And that’s just one country."""
3194,"Says Hillary Clinton has been given tens of millions of dollars by countries that ""treat women horribly ... and countries that kill gays."""
3196,"""We admit more than 100,000 lifetime migrants from the Middle East each year."""
3198,"Says Ted Cruz ""wanted to let in more Syrian refugees and give amnesty to illegal immigrants."""
3199,"""Recent reports state that the U.S. Customs and Border Protection has apprehended several members of known Islamist terrorist organizations crossing the southern border in recent years."""
3200,"""During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents."""
3201,"""More people were killed by terrorists in 2015 than in any other year ever, after an 80 percent increase from 2014."""
3203,"""Why are Muslim armies so useless against ISIS? ... There are 20,000 or 30,000 (ISIS fighters). The countries surrounding ISIS have armies totaling 5 million people."""
3205,"Says Barack Obama's administration has admitted that money from its Iran nuclear deal ""would go directly to terrorism."""
3206,"Says Hillary Clinton called Barack Obama ""naive"" for saying he was would ""sit down and talk to the Iranians"" during the 2008 Democratic primary."
3207,"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people."""
3211,"Says the Security Against Foreign Enemies Act of 2015 would not ""pause"" the resettlement of Syrian refugees in the United States."
3214,"In Texas, ""we've had three ISIS-related incidents already."""
3216,"Says there are ""ample means"" to ""tell when someone is a Christian in the Middle East ... by name, by where they’re born, their birth certificates."""
3222,"""It takes almost a year for a refugee to be processed in the United States."""
3225,"""We had a three-hour debate, no discussion about the national debt, very little about the economy."""
3233,"""The vast majority of our international commitments take effect without congressional approval."""
3234,"A federal judge said President Barack Obama’s executive action on immigration is ""unconstitutional."""
3236,"""The Obama administration is refusing to directly arm the Kurds."""
3237,"""Al-Qaida has grown fourfold in five years."""
3240,"Muslim nations did not ""call out"" the people who celebrated the 9/11 attacks."
3251,"Says three Ukrainians recently captured on a West Texas ranch are among ""individuals from countries that have strong terrorist ties being apprehended"" near the state’s border with Mexico."
3252,Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.
3258,"Shutdowns are ""a normal part of the constitutional process,"" with 12 shutdowns under Democratic House Speaker Tip O’Neill and two during his own speakership."
3259,"According to the most recent jobs report, ""we've got more Americans leaving the workforce than we have finding jobs."""
3260,"""Before President Obama acted in Libya in 2011, the American people were opposed to military action by 35 to 60. After he took action, they were in support of it 54 to 43."""
3261,"Long-term federal investment in U.S. airports is urgent because ""there was a recent survey of the top airports … in the world, and there was not a single U.S. airport that came in the top 25."""
3262,"Says Obama adviser David Plouffe took ""large piles of cash"" from a joint venture partner of a company owned by Iran’s Revolutionary Guard."
3263,"""The United States imprisons more than any nation in the world."""
3264,"The Arab Spring … ""drove up gas prices."""
3266,"Says that during the first 19 months of the Obama administration, the U.S. detained people from nations designated as state sponsors of terrorism on the southwestern border."
3271,"""It is just a fact that Hamas, apparently the North American spokesperson, is endorsing Senator Obama."""
3275,"Sen. Obama ""made the very argument he is now criticizing back in November 2006."""
3278,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”
3287,"Cheri Beasley voted to reverse the conviction of an armed kidnapper, release a double murderer early."
3302,"There are now zero students, staff or anyone “related to the school system” in Union County” hospitalized with COVID-19, despite harsh criticism of school COVID policy."
3312,"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD."""
3313,"“Greg Casar passed paid sick leave."""
3327,The use and possession of marijuana on U.S. college campuses “remains prohibited under federal law”
3333,Says his administration’s efforts have led to more school reopenings.
3337,“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”
3351,“I have been very clear with DACA. Even in my campaign six years ago I stood for those Dreamers.”
3362,"Postmaster General Louis DeJoy “gave $400,000 to Republicans just this year” and has “between $30 and $75 million in assets of direct competitors to the United States Postal Service.”"
3363,"“If the vaccine came out tomorrow, how in the heck would we get it to people? There is no game plan.”"
3367,“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”
3373,Stay-at-home orders “actually are the law of these states.”
3376,"Says Donald Trump ""himself has a financial stake in the French company that makes the brand-name version of hydroxychloroquine.”"
3383,“Trump’s daughter works at the White House. Her husband works at the White House. Rudy’s son works at the White House. Barr’s son-in-law works at the White House. Barr’s daughter works at Treasury. Trump’s sons do foreign business. Trump’s daughter is getting Chinese patents and Saudi grants.”
3384,The percent of millionaires in Congress is 50% while the percent among the U.S. public is 1 percent
3395,"""Every time we go to court,"" against the Trump administration, ""for the most part, we win."""
3397,"""The homicide rate in Baltimore is significantly higher than El Salvador, Honduras, Guatemala. ...  I believe it’s higher than Afghanistan."""
3401,"""In the Obama-Biden administration, we got China to cut cyber-theft -- it's gotten significantly worse under this administration."""
3405,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption."""
3406,"Says Beto O’Rourke did his father-in-law’s ""bidding on the El Paso City Council, pushing a downtown redevelopment scheme to bulldoze a poor Hispanic neighborhood while enriching developers like his father-in-law."""
3413,"""What did Joe Manchin say about civility? Today, he said he wanted to ‘beat the living crap out of’ his Republican opponent during their debate."""
3414,"Says Andrew Gillum was ""singing a different tune"" about charter schools at the Florida debate."
3415,"""I have no financial interests in Saudi Arabia."""
3418,"Says that in Texas, ""you can be too gay to adopt"" a foster child ""who needs a loving home."""
3420,"""Republicans vote to make it legal nationwide to ban gays and lesbians from adopting."""
3427,"The Mueller investigation is ""soon to be $20,000,000."""
3429,"""Tammy Baldwin cosponsored legislation that wanted to establish the Department of Peace and Nonviolence."""
3431,"""States that have implemented waiting periods have seen significant decreases in suicides."""
3432,"Says Democratic obstruction is the reason why ""many important positions in government are unfilled."""
3442,"""To be clear, all my investments are in a trust that I don’t control."""
3443,"""Less than half of Texans ages 18-24 are registered to vote."""
3444,"""The president early on called on NATO member countries to step up their contributions ... and as a result of that countries have stepped up contributions toward their own defense."""
3447,"""Calling for the assassination of the president is a federal crime."""
3451,"""I’m one of two members of Congress out of 535 that takes no corporate cash, no political action committee money."""
3453,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas)."""
3455,"""In my 30 year career including dozens of capital cases, not a single client of mine has ever been sentenced to death."""
3457,Says Texas House rules authorized by the Texas Constitution supersede the state law permitting anyone to record a public government meeting.
3459,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties."""
3460,"""In 2014, Mexico alone received over $24 billion in remittances sent from the U.S., while other South and Central American countries received over 15 percent of their (gross domestic product) in the form of remittances."""
3462,"Wisconsin is ""the most -- if not Number 1, number 2 -- gerrymandered state in the country"" for state legislative boundaries."
3468,"Of 1 million green cards issued a year, ""almost none of those green cards are based on job skills or demonstrated economic needs."""
3472,"""Pads and tampons (are) still taxed when Viagra and Rogaine are not."""
3473,"""Paying for a hotel room is not a gift or a present and it has nothing to do with an office. It's not an emolument."""
3475,"""In 2009, Mitch McConnell was the person that’s saying, 'Hey, we should get all the ethics information in before we do the hearings.' """
3476,"Says Kate Cloonen ""needs that extra $68,000"" lawmaker salary on top of the ""$8.5 million in state contracts for her construction company."""
3482,"Says ""Catherine Cortez Masto indicted (Brian Krolicki), who was an innocent man, in order to save Harry Reid's political career"""
3486,"Says he and his running mate ""are the only candidates that do believe in free trade."""
3487,"Says Marco Rubio ""opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families."""
3488,"""In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation."""
3493,"""First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage."""
3495,"Says Patrick ""Murphy embellished, according to reports, his University of Miami academic achievement."""
3496,"The Clinton Foundation ""took steps that went above and beyond all legal requirements and, indeed, all standard requirements followed by every other charitable organization."""
3506,"Says ""Michael Bennet votes for President Obama's agenda 98 percent of the time. Hardly independent, hardly bipartisan."""
3509,"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states."
3511,"Says he ""started"" the Pacur plastics manufacturing company he owns."
3512,"China is ""going to have twice the number of submarines we have in just over a decade."""
3513,"""Bernie Sanders voted with Republicans to protect the Minutemen, a hate group that used military tactics against our community."""
3515,"Says a company that got tax breaks from the state later ""laid off 100 Ohioans, even as its CEO cut a half-million-dollar check to Kasich’s super PAC."""
3516,"A study ""from the Massachusetts Institute of Technology, Harvard, and Dartmouth concluded that Medicaid’s value to its beneficiaries is significantly lower than the actual cost of the program."""
3517,"""Attorney General Roy Cooper refuses to do his job"" by not defending House Bill 2 in a lawsuit."
3518,"China is ""in the South China Sea and (building) a military fortress the likes of which perhaps the world has not seen."""
3519,"""I have now put out all of my emails."""
3520,"Despite the passage of HB2, ""towns, cities and counties in North Carolina are still allowed to set stricter non-discrimination policies for their own employees if they choose."""
3523,"Superdelegates ""have never been a determining factor in who our nominee is since they've been in place since 1984."""
3524,"""Every year there is a slightly smaller percentage of American households owning guns."""
