,claim,truth_value
1923,"Merkel called what is happening around Ukraine ""a turning point in history after the end of the Cold War.""",meter-true
1924,"All games of clubs and national teams at tournaments under the auspices of UEFA, which are to be held on the territory of Russia and Ukraine, will be postponed",meter-true
1925,Ukrainians lined up at the military commissariat. They are ready to defend their land. Photo from Rivne.,meter-true
1926,The Ministry of Internal Affairs of Ukraine distributed weapons to members of the Verkhovna Rada,meter-true
1927,A stream of refugees rushed from Ukraine - the German Foreign Ministry,meter-true
1928,"The latest figures from the UN: at least 25 civilians died during the attack on Ukraine, and at least 100,000 people were displaced.",meter-true
1929,"Erdogan: NATO should have acted more decisively, the West helps Ukraine only with advice.",meter-true
1930,Erdogan: The attitude of NATO and the EU towards Ukraine is neither friendship nor solidarity,meter-true
1931,Zelenskyi: Europe is helping Ukraine very slowly,meter-true
1932,Zelensky appealed to citizens of European countries to go to Ukraine to protect Europe,meter-true
1933,"Actor Marat Basharov supported Russia's war with Ukraine by attaching a photo with Putin and commenting on it ""Thank you""",meter-true
1934,"In Grozny, about 10,000 employees of the Russian Guard are going to leave for Ukraine on Ramzan Kadyrov's own order — media",meter-true
1935,"Xi Jinping called Putin, according to Chinese television, and said that China supports a negotiated settlement between Russia and Ukraine.",meter-true
1936,"Putin said in a conversation with Xi Jinping that Russia is ready to hold talks with Ukraine at a high level, reports China Central Television.",meter-true
1937,"Zelensky responded to the Prime Minister of Italy, who previously stated that the President of Ukraine, contrary to the agreement, did not contact him",meter-true
1938,10 thousand Chechens are preparing to go to war with Ukraine,meter-true
1939,"A petition on Change.org against the war with Ukraine is approaching 500,000 signatures",meter-true
1940,"Kadyrov: The hottest points in Ukraine will be occupied by Chechen fighters, fighters who serve on the path of Akhmat-Khaji Kadyrov",meter-true
1941,Sweden sent military-technical and humanitarian aid to Ukraine,meter-true
1942,"Ukrainian mass media: Armed Forces enter Kyiv, Kyiv residents are asked not to remove military equipment.",meter-true
1943,Ex-President of Ukraine Poroshenko is currently on the front line in Kyiv,meter-true
1944,Boris Yeltsin's daughter Tetyana Yumasheva called on Putin to stop the war with Ukraine,meter-true
1945,The Ministry of Foreign Affairs: the Russian military will take measures to ensure the safety of the employees of the UN and OSCE missions in Ukraine,meter-true
1946,The Ukrainian army is ready to meet the Russian army in Kyiv,meter-true
1947,"NATO calls on Russia to immediately stop hostilities in Ukraine, reports the Secretary General.",meter-true
1948,Putin discusses the course of the special operation in Ukraine at an operational meeting with members of the Soviet Security Service,meter-true
1949,Ireland canceled the visa regime with Ukraine,meter-true
1950,"Deputy from the ""Opposition Platform"" Shufrych said that he convinced Zelenskyi to initiate negotiations with Russia, one of the points of which will be Ukraine's non-aligned status",meter-true
1951,Ukrainian girl asks Putin to withdraw Russian troops,meter-true
1952,"Polish computer game developers ""CD Project Red"", which created the cult game ""The Witcher 3"", donated 1 million zlotys to a humanitarian fund to help Ukraine",meter-true
1953,Bild: The Ukrainian army is putting up much more resistance than was expected in Moscow,meter-true
1954,The authorities of Ukraine announced the closure of schools for two weeks,meter-true
1955,All ports of Ukraine are under increased security - Prime Minister Shmyhal.,meter-true
1956,A convoy with military aid from Poland arrived in Ukraine,meter-true
1957,Normalizing relations with Russia after the events in Ukraine is now impossible - Prime Minister Johnson,meter-true
1958,"Zelensky said that he spoke with Biden and discussed the strengthening of sanctions, ""concrete defense support"", as well as the creation of an anti-war coalition. The president did not announce the results of the negotiations.",meter-true
1959,PACE will hold an emergency meeting on the situation in Ukraine on March 14-15,meter-true
1960,The World Boxing Council will not recognize or approve fights in Russia due to the situation in Ukraine,meter-true
1961,"China advocates respect for the sovereignty of all countries, including Ukraine, the Ministry of Foreign Affairs of the People's Republic of China said.",meter-true
1962,State Department: the US does not see Russia's readiness for de-escalation and the chances of success of negotiations regarding Ukraine in the current conditions,meter-true
1963,"TV channel ""Ukraine 24"" reports that a Russian aircraft is flying to Kyiv. You need to take documents, blanket, water, first aid kit, food. In 15 minutes you need to be in the bunker",meter-true
1964,Biden told Zelensky about US efforts to involve other countries in providing aid to Ukraine.,meter-true
1965,"The White House: The US is not interested in a war with Russia, so the US will not send troops to Ukraine",meter-true
1966,"The White House: Russian troops are ""advancing to Kyiv, they seek to overthrow the government of Ukraine.""",meter-true
1967,Electronics manufacturer Dell has suspended sales of its products in Russia and Ukraine.,meter-true
1968,Zelenskyi said that he agreed with world leaders on significant new aid to Ukraine,meter-true
1969,"Zelensky: Everything must be done to stop this aggression. Everyday aggression is everywhere, not only in Ukraine, but also in Russia and throughout Europe",meter-true
1970,"Zelensky: We must stand this night, the fate of Ukraine is being decided right now. The night will be hard. Very difficult",meter-true
1971,"Office of the President of Ukraine: Ukraine controls half of Melitopol, the other half is under the control of Russian troops",meter-true
1972,Russia has blocked a UN resolution condemning Russia's actions in Ukraine,meter-true
1973,"Hungary has declared that it is ready to become a platform for negotiations between Russia and Ukraine, such a proposal has been sent to the parties",meter-true
1974,"Biden instructed the State Department to allocate $600 million in aid to Ukraine, $350 million — for military needs.",meter-true
1975,"After prolonged fighting, Vasylkiv remained under the control of Ukraine",meter-true
1976,"The Ukrainian army controls Kyiv, the secretaries of the NSDC Kyiv",meter-true
1977,"Mayor of Kyiv Vitaliy Klitschko: Friends! It will be difficult, but we must persevere! The army is with us, the armed forces are with us, justice is with us! Glory to Ukraine!",meter-true
1978,"S&P lowered Russia's long-term credit rating in foreign currency from ""BBB-"" to BB+ - below investment grade, and Ukraine's rating - from ""B"" to ""B-"".",meter-true
1979,"The Ministry of Foreign Affairs of Latvia blacklisted Mykola Baskov for supporting ""Russian aggression against Ukraine""",meter-true
1980,"Macron, speaking about the conflict in Ukraine, said that ""the war will last a long time"" and called to prepare for long-term consequences for Europe.",meter-true
1981,"Ukrainian President Zelensky rejected the US request to evacuate Kyiv, saying: ""I need ammunition, not transport"" - AP",meter-true
1982,Macron convenes a defense council for Ukraine at 19:00 in Moscow,meter-true
1983,"Over 47,000 Ukrainian residents entered Poland in one day, Polish border guards report.",meter-true
1984,"Rogozin asked who, in the event of sanctions due to the war in Ukraine, would save the ISS from ""uncontrolled descent from orbit and falling on the USA."" Elon Musk replied: ""Space X.""",meter-true
1985,"The Netherlands will send 200 Stinger anti-aircraft missile systems to Ukraine, local media reports.",meter-true
1986,"Roskomnadzor forbade Russian mass media from calling the war in Ukraine a ""war""",meter-true
1987,The Dutch government approved the decision to send 200 Stinger anti-aircraft missile systems to Ukraine.,meter-true
1988,"Minister of Health of Ukraine Viktor Lyashko reported that 198 civilians, including three children, died at the hands of Russian soldiers. 1115 people were injured, including 33 children.",meter-true
1989,"The Ministry of Internal Affairs of Poland: 100,000 people have entered Poland from the territory of Ukraine in recent days",meter-true
1990,Italy supported Russia's disconnection from SWIFT and is ready to provide military aid to Ukraine.,meter-true
1991,Johnson announced an increase in the number of countries that are ready to provide assistance to Ukraine in ensuring its defense.,meter-true
1992,Today at 3:50 a.m. air defense shot down a Russian missile aimed at the dam of the Kyiv Reservoir. This is reported by the Ministry of Infrastructure of Ukraine.,meter-true
1993,The full version of the new address of the President of Ukraine Zelenskyi,meter-true
1994,The full list of countries that have closed air borders to Russia now: Great Britain Bulgaria Poland Ukraine Estonia Latvia Czech Republic Poland,meter-true
1995,"Slovakia is introducing a state of emergency due to the massive influx of refugees from Ukraine, the government reports",meter-true
1996,"From 12:00 p.m. on February 26, the Slovakian authorities are introducing a state of emergency in the country in connection with the influx of refugees from Ukraine.",meter-true
1997,"Uzbekistan takes a balanced, neutral position towards Ukraine and Russia — Press Secretary Shavkat Mirziyeva.",meter-true
1998,The Russian special forces recorded a statement that it does not plan to invade Ukraine,meter-true
1999,Çavuşoğlu called on the Russian authorities to stop the military operation in Ukraine: the Ministry of Foreign Affairs of Turkey,meter-true
2000,"1,450 Russian teachers from 65 regions of Russia openly opposed the ""special operation in Ukraine"" by signing a petition",meter-true
2001,"Odesa, two strong explosions — Ukrainian media",meter-true
2002,Volodymyr Klitschko appealed to the democratic world to immediately help stop Russia's war against Ukraine.,meter-true
2003,Poland advocates the adoption of Ukraine into the EU in the express mode - President Duda,meter-true
2004,Erdogan announced that he invited Putin to Turkey to discuss the situation around Ukraine,meter-true
2005,Ukraine controls all major cities — Office of the President,meter-true
2006,"UN Commissioner: More than 150,000 people have left Ukraine, who are heading mainly to Poland, Hungary, Moldova and Romania.",meter-true
2007,"The Verkhovna Rada called on the West today to ""close the sky over Ukraine"", to exclude Russia from the UN Security Council, to strengthen sanctions against ""all Russians""",meter-true
2008,"Erdogan invited Putin to visit Turkey to discuss the diplomatic settlement of the situation in Ukraine, TGRT TV channel reports.",meter-true
2009,Blinken approved the Pentagon's request to provide Ukraine with immediate military aid in the amount of $350 million,meter-true
2010,The arbitrariness of the United States led to the conflict in Ukraine — the Ministry of Foreign Affairs of the DPRK,meter-true
2011,German Chancellor Olaf Scholz allowed partner countries to supply German-made weapons to Ukraine,meter-true
2012,"Slovakia will supply Ukraine with 12,000 mines of 120-mm caliber, 10,000 tons of fuel, 2,400 tons of aviation kerosene, two Bozena demining complexes",meter-true
2013,"Belgium will supply Ukraine with 2,000 machine guns and 3,800 tons of fuel for the needs of the army",meter-true
2014,"An Azerbaijani plane with rubber aid for Ukraine took off from Baku. Medicines and medical equipment for a total amount of more than 5 million euros are on board, Minval reports",meter-true
2015,Zelensky: The world saw that Ukrainians are strong. Ukrainians are brave. Ukrainians are on their native land and will never give it up,meter-true
2016,Zelenskyi: President of Azerbaijan Aliyev promised to help Ukraine with oil products,meter-true
2017,"Biden: an alternative to large-scale sanctions against Russia due to the events in Ukraine would be the start of the ""Third World War""",meter-true
2018,Armenia was the only country in the Council of Europe to join the Russian delegation in voting against the decision to expel Russia from the organization because of their invasion of Ukraine,meter-true
2019,Germany will send a thousand anti-tank guns and 500 Stinger missiles to Ukraine,meter-true
2020,Azerbaijani SOCAR gas stations in Ukraine will provide fuel for ambulances and rescuers for free.,meter-true
2021,Latvia sent more than 30 trucks with military cargo and medical goods to Ukraine,meter-true
2022,The CEO of the Viber messenger sent $8.7 million in aid to Ukraine,meter-true
2023,"Manchester City football club players took to the field in T-shirts with the inscription No war (""There is no war"") and images of the Ukrainian flag, and Everton football players draped Ukrainian flags over their shoulders",meter-true
2024,Bayern Munich forward Robert Lewandowski came to the match against Eintracht with a captain's armband in the colors of the Ukrainian flag.,meter-true
2025,"Pope Francis called Volodymyr Zelenskyi and expressed his sorrow over the events in Ukraine, the Embassy of Ukraine to the Holy See reported.",meter-true
2026,The United States demanded an urgent meeting of the UN Security Council on Ukraine on Sunday — France-Presse,meter-true
2027,"Ukrainian Railways cut off power at the Central Station in Kyiv due to the proximity of shelling. Passengers and staff were evacuated to a bunker, Interfax-Ukraine reported.",meter-true
2028,Hungary offers Russia and Ukraine to hold peace talks in Budapest,meter-true
2029,Borrell said that he will offer the EU countries to send aid to the armed forces of Ukraine on February 27.,meter-true
2030,France will soon deliver new military equipment to Ukraine — Macron's office,meter-true
2031,"The Ministry of Internal Affairs of Ukraine asks Ukrainians to turn off geolocation on their phones Turning off geolocation will prevent the Russian military from focusing on the accumulation of mobile traffic, the Ministry of Internal Affairs believes.",meter-true
2032,Ukraine temporarily closed checkpoints across the state border with Russia and Belarus - Prime Minister of Ukraine,meter-true
2033,"Ukraine cannot guarantee nuclear safety at the Chernobyl nuclear power plant, says the letter of the Ukrainian ambassador to the UN",meter-true
2034,The British Prime Minister announced his readiness to accept refugees from Ukraine.,meter-true
2035,The results of the poll on the CNN website: 77% of participants expressed their support for NATO's participation in the war on the side of Ukraine,meter-true
2036,Ukrainian Prosecutor General: the US is ready to send war crimes experts to Kyiv.,meter-true
2037,Elon Musk's satellite internet is available in Ukraine.,meter-true
2038,"The oil depot is on fire - Mayor Vasylkov Ukrainian mass media write that the environmental damage will be ""colossal""",meter-true
2039,The Ukrainian-Polish border a few hours ago,meter-true
2040,The Air Force of the Armed Forces of Ukraine shot down a missile fired from the territory of Belarus.,meter-true
2041,"Russian actress Liya Akhedzhakova donated 10,000 dollars from her savings to the needs of the Armed Forces of Ukraine",meter-true
2042,"Advisor to the President of Ukraine Podolyak: President Zelenskyi's position remains unchanged - only real negotiations, no ultimatums",meter-true
2043,"British Foreign Ministry: Operation in Ukraine may last ""several years""",meter-true
2044,"Volodin: if Zelensky lost Donbas yesterday because of his position, today he may lose Ukraine",meter-true
2045,"The authorities of Ukraine are releasing former military prisoners to participate in hostilities, the Prosecutor General's Office reports.",meter-true
2046,Zelenskyi said that Ukraine has officially sent a lawsuit against Russia to the UN International Court of Justice in The Hague,meter-true
2047,"Ukraine fully controls Kharkiv, the governor said",meter-true
2048,"Zelensky asked the President of Switzerland to organize a conference in Geneva on the settlement of the situation in Ukraine, Swiss publications write.",meter-true
2049,Germany decided to supply weapons to Ukraine in order to protect the country's independence,meter-true
2050,Egypt called on the League of Arab States to hold an urgent meeting to discuss the situation in Ukraine,meter-true
2051,The time set aside by the Russian delegation for waiting for negotiations in Gomel with the Ukrainian side has passed.,meter-true
2052,"Switzerland is working on organizing a Russia-Ukraine meeting in Geneva, local television reports.",meter-true
2053,"The Ukrainian delegation is going to Gomel for negotiations with Russia, ""Interfax"" reported.",meter-true
2054,Roskomnadzor demands that Google restore access to YouTube channels of Russian mass media on the territory of Ukraine,meter-true
2055,"Negotiations between the delegations of Ukraine and Russia in the Gomel region are expected at the Belarusian-Ukrainian border, Belta reports.",meter-true
2056,Medynskyi on negotiations with Ukraine: every hour is a life saved for us,meter-true
2057,"The United States will provide humanitarian aid to Ukraine in the amount of almost 54 million dollars, Blinken said.",meter-true
2058,Zelenskyi's office claims that the meeting of the delegations of Russia and Ukraine in Belarus will take place without preconditions,meter-true
2059,"Pro-Russian politician Viktor Medvedchuk, who is called Putin's godfather, escaped from house arrest — Ministry of Internal Affairs of Ukraine",meter-true
2060,Negotiations between Russia and Ukraine will be held on the Pripyat River - Zelenskyi's office,meter-true
2061,A rally against the war with Ukraine is taking place in St. Petersburg,meter-true
2062,"At least 368,000 refugees left Ukraine — UN",meter-true
2063,The Ukrainian ambassador to Turkey believes that the meeting between the delegations of Russia and Ukraine may end in a ceasefire,meter-true
2064,The US military will not operate in the air over Ukraine - US ambassador to the UN,meter-true
2065,Negotiations with Russia have begun. Ukraine's first condition at the negotiations is an immediate ceasefire and withdrawal of troops,meter-true
2066,"Berlin. 100,000 march against the war in Ukraine",meter-true
2067,"NATO is increasing the supply of anti-aircraft and anti-tank systems to Ukraine, as well as ammunition, the Secretary General said.",meter-true
2068,"NATO supports Ukraine's aspiration to join the alliance, but for this a consensus of all member countries is needed, Secretary General Stoltenberg said.",meter-true
2069,Negotiations between Russia and Ukraine have started,meter-true
2070,Russian Foreign Ministry: negotiations with Ukraine have not yet started,meter-true
2071,The location of the talks between Russia and Ukraine became known — the Oleksandrivka and Vilcha checkpoints. The closest Belarusian city to them is Narovlya,meter-true
2072,New address of the President of Ukraine Volodymyr Zelenskyi,meter-true
2073,"The USA, Norway and other countries have invited an urgent meeting of the UN Security Council regarding the situation in Ukraine for tomorrow.",meter-true
2074,"Bulgaria joins the states that have decided to support Ukraine and will provide it with humanitarian aid and military-logistical support, Prime Minister Kyril Petkov said in an address to the nation.",meter-true
2075,The State Special Service of Ukraine officially announced that the missile attack on the Zhytomyr airport was carried out from the territory of Belarus.,meter-true
2076,Hungary will not supply weapons to Ukraine - Prime Minister Orban,meter-true
2077,"Sweden sends weapons and ammunition to Ukraine Sweden will hand over 5,000 anti-tank guns, helmets and body armor to the Ukrainian army, as well as 135,000 dry rations.",meter-true
2078,"The European Union is preparing for the number of refugees from Ukraine to exceed 7 million people, the European Commissioner said",meter-true
2079,Ukrainian singer Nadia Dorofeeva appealed to Russian and Belarusian mothers,meter-true
2080,White House urges China to discuss Russia's invasion of Ukraine — Reuters,meter-true
2081,The Ministry of Health of Ukraine called on the WHO to stop any cooperation with Russia,meter-true
2082,Turkey has confirmed that it has closed the Bosphorus and Dardanelles straits to the passage of Ukrainian and Russian ships,meter-true
2083,"Hungary transferred 100,000 liters of fuel and 28 tons of food to Ukraine",meter-true
2084,"The G7 countries will take further steps against Russia if the operation in Ukraine is not stopped, the German Foreign Ministry said.",meter-true
2085,"McDonalds will also help the military of Ukraine and feed them. The statement says that the food will be handed over to representatives of the local authorities, who will distribute it ""where they need it the most.""",meter-true
2086,G7 countries: Russia will bear responsibility for any damage caused by its actions to Ukraine and its residents.,meter-true
2087,"At the request of Kyiv, Meta restricted access to the accounts of several Russian state media from the territory of Ukraine, the vice president of the company said",meter-true
2088,Updated data on combat operations of Russian troops in Ukraine,meter-true
2089,"Great Britain will allocate an additional 53 million dollars to provide humanitarian aid to Ukraine, Reuters reported.",meter-true
2090,"The European Union will supply combat aircraft to Ukraine, Borrell said.",meter-true
2091,The UN Security Council has invited an extraordinary special session of the UN General Assembly regarding Ukraine,meter-true
2092,China abstained during the vote in the UN Security Council on the resolution on convening a special session of the General Assembly regarding Ukraine,meter-true
2093,"Denmark will transfer up to 2,700 anti-tank weapons to Ukraine.",meter-true
2094,"China supports possible negotiations between Russia and Ukraine, the ambassador to the UN said.",meter-true
2095,EU countries will deliver the latest fighter jets to Ukraine. He will take the payment for the weapon Brussels - Borrell,meter-true
2096,"Belarus is involved in ""Russia's aggression"" against Ukraine, claims the Ukrainian ambassador to the UN.",meter-true
2097,"Now I would go back to February 23, 2022 and persuade Putin not to start a war with Ukraine",meter-true
2098,The Ministry of Culture of Ukraine appealed to UNESCO to deprive Russia of membership in the organization,meter-true
2099,"Among the civilian population, 352 people died, including 14 children, the Ministry of Internal Affairs of Ukraine reports.",meter-true
2100,Negotiations between Russia and Ukraine should begin within an hour - a representative of Zelenskyi's office,meter-true
2101,Ukraine asks the EU to disconnect Russian operators from roaming in European countries,meter-true
2102,The Ukrainian delegation arrived at the place of negotiations,meter-true
2103,Office of the President of Ukraine - about the tasks of the Ukrainian delegation at the negotiations: The key issue of the negotiations is an immediate ceasefire and the withdrawal of troops from the territory of Ukraine,meter-true
2104,Zelenskyi: We are appealing to the European Union on the topic of urgent accession of Ukraine under a simplified procedure,meter-true
2105,"Roskomnadzor demands from Google to limit advertising under the guise of transmitting materials about ""numerous victims"" among Russian forces in Ukraine",meter-true
2106,Japan will allocate 100 million dollars to Ukraine to help in coverage of Russian aggression — Zelensky,meter-true
2107,The OnlyFans service has disabled payments to Russian and Belarusian models due to the war in Ukraine.,meter-true
2108,Oleg Tynkov spoke against the war in Ukraine,meter-true
2109,"Abramovich is currently in Minsk, who is conducting ""real negotiations"" on ending Russia's war with Ukraine, Ksenia Sobchak reports with reference to sources.",meter-true
2110,"At the request of Ukraine, Abramovich came to Belarus to facilitate Russian-Ukrainian negotiations, the Jerusalem Post writes",meter-true
2111,Negotiations between Russia and Ukraine have ended - Kraina edition,meter-true
2112,Germany is ready to accept all refugees from Ukraine — the German Foreign Ministry,meter-true
2113,Prime Minister of Ukraine Denys Shmyhal said that the country is already preparing an application for joining the EU.,meter-true
2114,The petition against the war in Ukraine has already been signed by more than 1 million people,meter-true
2115,"EU countries intend to increase military support for Ukraine, Borrell said.",meter-true
2116,"Meanwhile, negotiations between Russia and Ukraine have been going on for 4 hours. The parties took a break. Negotiations will resume soon.",meter-true
2117,"More than 500,000 refugees fled from Ukraine to neighboring countries — the UN High Commissioner for Refugees",meter-true
2118,Macron called for the protection of the civilian population of Ukraine and an end to hostilities,meter-true
2119,The meeting of the UN General Assembly regarding Ukraine began with a moment of silence,meter-true
2120,"In a telephone conversation, British Prime Minister Johnson promised Zelensky to provide new military support to Ukraine in the coming hours and days.",meter-true
2121,"Putin told Macron that Russia is open to negotiations with representatives of Ukraine, the Kremlin said.",meter-true
2122,"Putin - Macron: Settlement in Ukraine is possible with its demilitarization and denazification, neutral status and recognition of Crimea",meter-true
2123,Interfax: negotiations between Russia and Ukraine have been completed,meter-true
2124,"Ukraine demands to exclude Russia from Interpol, London agrees with this - the British Ministry of Internal Affairs",meter-true
2125,"Negotiations between Russia and Ukraine have not yet been completed, the third round is ongoing, the source said.",meter-true
2126,Zelensky signed Ukraine's application for joining the European Union,meter-true
2127,"Nebenzya: For Russia, Ukraine's accession to NATO is a ""red line""",meter-true
2128,"Ksenia Sobchak: First Channel decided to close ""Evening Urgant"" The closure of the program may be related to the fact that Ivan Urgant spoke against the war with Ukraine.",meter-true
2129,"The ""Servant of the People"" party confirmed that Zelensky signed the application for Ukraine's membership in the EU",meter-true
2130,"BelTa is the first statement after the negotiations. The Ukrainian side: ""The parties are going to the capital for consultations""",meter-true
2131,The delegations of Ukraine and Russia are now returning to their capitals,meter-true
2132,Russia and Ukraine will hold a second round of negotiations regarding the situation in Donbas in the near future,meter-true
2133,"Slutsky: The Ukrainian delegation was ready to listen and participate in the most detailed and detailed discussion of the essence of the issue. It is very important. What will be the continuation, it will be shown in the coming days",meter-true
2134,Negotiations between Russia and Ukraine lasted 5 hours today,meter-true
2135,The Verkhovna Rada will prepare a draft law on the confiscation of all Russian property in Ukraine,meter-true
2136,Medinsky: The leadership of the delegations of Russia and Ukraine will consult with the leaders of the countries on all positions of the negotiations before the next meeting,meter-true
2137,The Euroleague announced that it will cancel the results of Russian basketball clubs in the regular championship in the event of an unfavorable development of the situation in Ukraine,meter-true
2138,Ukrainian mass media report on two powerful explosions in Kyiv,meter-true
2139,Ukrainian media: Three powerful explosions just thundered in Kharkiv. There is shelling,meter-true
2140,Makey: Belarus is ready to contribute to the resolution of the crisis between Russia and Ukraine,meter-true
2141,"The second round of negotiations between Russia and Ukraine should take place in two days, according to RT's source.",meter-true
2142,"Finland will send Ukraine 2,500 assault rifles, 150,000 cartridges, 1,500 anti-tank charges and 70,000 dry rations.",meter-true
2143,"At the next meeting between Russia and Ukraine, a specific conversation will take place regarding the points on which it was possible to achieve progress, Leonid Slutskyi said",meter-true
2144,"Ukraine has turned to the European Union with a request for the provision of military equipment, including air defense and missile defense systems, as well as guns, mortars and assault rifles",meter-true
2145,"The Belarusian army insists that it does not take part in the battles. The Ministry of Defense of Belarus reports that the country's armed forces are carrying out tasks ""to strengthen the protection of the state border"" with Ukraine.",meter-true
2146,Biden does not want to introduce a no-fly zone over Ukraine.,meter-true
2147,Spartak Moscow is excluded from the current draw of the Europa League by the decision of UEFA due to the situation in Ukraine,meter-true
2148,OnlyFans supported Ukraine and repainted its logo in the colors of the flag. The country's logo is displayed every time the website pages are updated.,meter-true
2149,The European Union will transfer space intelligence data on Russian troops to Ukraine - Borel,meter-true
2150,"Croatia will send €16.5 million worth of weapons, rifles and machine guns to Ukraine - Minister of Defense Mario Banozych",meter-true
2151,Johnson called on G7 leaders to continue supplying defense weapons to Ukraine and help resolve the humanitarian crisis.,meter-true
2152,The authorities of San Marino will support Western sanctions against Russia in connection with the events in Ukraine,meter-true
2153,"The presidents of Bulgaria, the Czech Republic, Estonia, Latvia, Lithuania, Poland, Slovakia, and Slovenia believe that Ukraine deserves the prospect of immediate accession to the European Union, according to the statement",meter-true
2154,"Norway will send 2,000 M72 anti-tank grenade launchers to Ukraine to protect against Russian armed forces - Reuters reports",meter-true
2155,The Investigative Committee of Russia is investigating former Prime Minister of Ukraine Turchynov,meter-true
2156,Elon Musk's Starlink satellite internet is already in Ukraine. This was announced by the Minister of Digitalization Mykhailo Fedorov.,meter-true
2157,"Canada will send anti-tank weapons to Ukraine, Trudeau said.",meter-true
2158,"Today, the European Parliament will adopt a resolution calling on the EU to work on granting Ukraine the status of a candidate for EU membership, The Guardian reports.",meter-true
2159,"The White House does not clarify whether it supports the call for Ukraine to join the EU, but states that this issue should be decided by the Europeans.",meter-true
2160,The US is confident that Russia's steps towards de-escalation in Ukraine will lead to the start of negotiations on the lifting of sanctions,meter-true
2161,"NATO is not going to send troops into Ukraine, Trudeau said.",meter-true
2162,"THR: Hollywood studios have begun discussing canceling future film releases in Russia due to the conflict in Ukraine ""Batman"" is likely to be released locally, but what will happen next is still unclear",meter-true
2163,"Boris Grebenshchikov: ""The war with Ukraine is madness. And the people who started it are the shame of Russia""",meter-true
2164,"Zelensky: 56 missile strikes were carried out in Ukraine during the five days of the invasion, 113 cruise missiles were fired",meter-true
2165,All mobile operators of Ukraine have banned calls from Russian SIM cards on the territory of the country,meter-true
2166,"The premiere of the new ""Batman"" was canceled in Russia a day before the premiere. The release will not take place because of Russia's invasion of Ukraine.",meter-true
2167,"Kadyrov said that among the natives of Chechnya there are losses in Ukraine: two died, six more were wounded of various degrees",meter-true
2168,"Visa is working to comply with sanctions due to the situation around Ukraine. Also, the Visa Foundation will allocate a grant of $2 million to the United Nations Children's Fund to support humanitarian aid to Ukraine.",meter-true
2169,The administration of the French city of Colmar dressed its Statue of Liberty in the colors of the Ukrainian flag. The action was held as a sign of solidarity with the people of Ukraine.,meter-true
2170,"The number of refugees who arrived in Poland from Ukraine has exceeded 377,000, the border guard reports.",meter-true
2171,Skoda is reducing the production of passenger cars due to a critical shortage of parts.,meter-true
2172,Mark Hamill (aka Luke Skywalker) spoke in support of Ukraine.,meter-true
2173,"February 24: The US believes that Kyiv ""will be taken within 96 hours"", writes Newsweek citing officials March 1: Kyiv, like most cities, is still under Ukrainian control",meter-true
2174,"The Office of the United Nations High Commissioner for Refugees estimates the number of refugees from Ukraine since February 24 to 660,000",meter-true
2175,The Ukrainian military showed the Russian army dry cleaners - they turned out to be 7 years out of date,meter-true
2176,"NATO does not seek a conflict with Russia and insists on a diplomatic settlement of the conflict in Ukraine, Stoltenberg said.",meter-true
2177,"In Ukraine, the ""Air Alarm"" application is launched, which will notify about danger in a specific region. It can be downloaded: Google Play Market",meter-true
2178,"Poland does not send its planes to Ukraine because NATO is not a party to the conflict, Duda said.",meter-true
2179,"At the request of Kyiv, YouTube blocked the Russian Channel One, TV channels ""Zirka"", TNT and others in Ukraine - Ukrainian Minister of Culture Tkachenko",meter-true
2180,"I can honestly say, we cannot provide a no-fly zone over Ukraine, this will lead to a direct confrontation with Russia - British Prime Minister Johnson.",meter-true
2181,"The second round of negotiations between Russia and Ukraine may take place on March 2, Ukrainian publications cite Ukrainian diplomatic sources.",meter-true
2182,Hungary supported the accelerated accession of Ukraine to the EU,meter-true
2183,"Ukraine is in contact with Turkey to get more Bayraktar drones, Ukrainian Ambassador to Great Britain Vadym Prystaiko said this while answering questions from the British media.",meter-true
2184,"The governor of the Stavropol region laid out the letter Z folded into St. George's ribbon ""I support our troops, who are currently conducting a special operation in Ukraine. I support the President of Russia.""",meter-true
2185,"In Ukraine, VKontakte was unblocked. The Ministry of Internal Affairs calls on citizens to demoralize the enemy with information warfare",meter-true
2186,The European Parliament stands and applauds Zelensky Europeans admire the courage and resilience of the Ukrainian President — broadcast of the meeting,meter-true
2187,"Raiffeisen Bank is studying the possibility of leaving Russia due to the situation in Ukraine, Western agencies report.",meter-true
2188,Oschadbank shares have collapsed by 91% since the day of the invasion of Ukraine - data from the London Stock Exchange,meter-true
2189,"State Duma deputy Denys Maidanov suggested blocking Instagram, Facebook, and Twitter during the ""special operation in Ukraine."" He also called for stronger control over VKontakte and Odnoklassniki",meter-true
2190,"Ukraine is not calling on NATO to engage in hostilities, but is asking for its support, Kuleba said.",meter-true
2191,"In Poland, a criminal case was opened regarding the attack on Ukraine - the Polish Prosecutor General",meter-true
2192,"In a conversation with Sholtz, Zelensky stated the need to close the airspace over Ukraine and called for speeding up work on the country's admission to the EU",meter-true
2193,The Chancellor of Austria said that Russia will be held accountable if Austrians are harmed in Ukraine and for a possible war crimes investigation.,meter-true
2194,Up to 4 million people could already leave Ukraine - UN,meter-true
2195,"The Minister of Foreign Affairs of Ukraine, Kuleba, announced that he had appealed to China to put pressure on Russia",meter-true
2196,"Ukrainian TV channels reported problems with broadcasting The presenters of ""Ukraine-24"" and ""1+1"" had time to report problems with the TV signal and asked everyone to switch to their streams on YouTube.",meter-true
