id,claim,truth_value,title,stated_on
261,The U.S. Army has signed a new contract worth up to $1.2 billion with Raytheon to send air defense missile systems to Ukraine.,meter-true,Ukraine live briefing: Shelling leaves Kherson dark; Biden and Macron condemn Russia,"December 01, 2022 at 11:44 AM GMT+5:30"
262,European Commission President Ursula von der Leyen has proposed establishing a specialized court to investigate and prosecute Russia for war crimes.,meter-true,Ukraine live briefing: E.U. proposes war crimes tribunal; energy woes continue; White House ‘concerned’ about Paul Whelan,"November 30, 2022 at 12:30 PM GMT+5:30"
263,"The United States is expected to announce steps to help Ukraine withstand Russian attacks on its energy infrastructure, as NATO diplomats gather in Romania.",meter-true,Ukraine live briefing: U.S. announces aid for Ukraine’s battered energy infrastructure,"November 29, 2022 at 1:04 PM GMT+5:30"
264,"In Brussels Monday, European diplomats will try to move forward with U.S.-backed plans to cap the price of Russian oil after talks last week stalled. ",meter-true,Ukraine live briefing: G-7 to discuss assault on Ukraine’s power grid; Zelensky warns citizens to brace for more Russian airstrikes,"November 28, 2022 at 12:28 PM GMT+5:30"
265,"House Republicans, who will soon hold a slim majority, warned the Biden administration to expect tougher oversight of the $20 billion in military aid to Ukraine",meter-true,"Ukraine live briefing: Electricity coming back online, Zelensky says; Russians may be fleeing power plant","November 27, 2022 at 10:50 AM GMT+5:30"
266,"Electricity was restored to much of Ukraine, but 3 million customers remained without electricity, President Volodymyr Zelensky said Saturday",meter-true,Ukraine live briefing: European leaders in Kyiv for show of support during famine commemoration,"November 26, 2022 at 12:30 PM GMT+5:30"
267,"NATO Secretary General Jens Stoltenberg on Friday pledged ongoing support for Ukraine, saying that backing Ukrainian forces now is a step toward a lasting peace. ",meter-true,Ukraine live briefing: Putin meets with soldiers’ mothers; NATO chief warns of bleak winter for Ukraine,"November 25, 2022 at 12:30 PM GMT+5:30"
268,"Russian President Vladimir Putin is weaponizing winter and trying to freeze Ukraine into submission, said the top U.S. diplomat at the United Nations.",meter-true,"Ukraine live briefing: Zelensky urges U.N. to condemn ‘energy terror,’ Moscow and Kyiv exchange prisoners ","November 24, 2022 at 12:30 PM GMT+5:30"
269,"Churchill thought modern warfare obliterated the ""personal factor."" He later disproved that. Now we have another example of the power of individual fortitude.",meter-true,Opinion | Be thankful for the pugnacious Zelensky’s magnificent resistance to suppression,"November 23, 2022 at 5:30 PM GMT+5:30"
270,Ukrainian officials have warned of electricity blackouts this winter. Zaporizhzhia's governor said Wednesday that a strike killed a baby in a maternity ward.,meter-true,Ukraine live briefing: Russia strikes Kyiv; U.N. Security Council holds meeting on Ukraine,"November 23, 2022 at 1:08 PM GMT+5:30"
271,"Conditions in Ukraine at the onset of winter are grim, with the head of a major power provider predicting blackouts until at least the end of March.",meter-true,Ukraine live briefing: Zelensky urges power rationing; Ukraine’s security service raids Kyiv monastery,"November 22, 2022 at 12:30 PM GMT+5:30"
272,"Russia hasn’t gained more than 1,000 square miles in a week since April. See how Russian-controlled territory in Ukraine has changed throughout the war.",meter-true,"What Russia has gained and lost so far in Ukraine, visualized","November 22, 2022 at 2:19 AM GMT+5:30"
273,"The head of the U.N. nuclear watchdog said whoever is shelling the area of the Zaporizhzhia nuclear power plant is ""gambling with many people’s lives."" ",meter-true,Ukraine live briefing: WHO says winter ‘life-threatening’ for millions; IAEA finds damage at Zaporizhzhia plant,"November 21, 2022 at 12:30 PM GMT+5:30"
274,"The International Atomic Energy Agency reported ""what appeared to be renewed shelling"" at and around the Zaporizhzhia nuclear power plant in eastern Ukraine. ",meter-true,Ukraine live briefing: ‘Powerful’ blasts around nuclear plant; Pentagon chief warns of ‘dangers of disorder’,"November 20, 2022 at 12:30 PM GMT+5:30"
275,"Meanwhile, power outages plague Ukrainians and Rishi Sunak pledges $59 million for Ukraine during his first visit as prime minister. ",meter-true,"Ukraine live briefing: Russia to get more Iranian-developed drones, officials say; first train from Kyiv arrives in Kherson","November 19, 2022 at 12:30 PM GMT+5:30"
276,"This week's developments, including a missile strike in Poland, show the delicate task faced by the Biden team.",meter-true,"Opinion | The U.S. seeks to support Ukraine, but contain the war  ","November 18, 2022 at 5:30 PM GMT+5:30"
277,The Swedish investigation also found “traces of explosives on several of the foreign objects that were found” at the site of the blasts. ,meter-true,Ukraine live briefing: Kyiv braces for emergency blackouts; Ukraine says missile parts could have entered Poland amid chaos ,"November 18, 2022 at 12:30 PM GMT+5:30"
278,The Kremlin seems to be trolling for support among U.S. voters on the far right.,meter-true,Analysis | Russia now says it must ‘de-Satanize’ Ukraine. What?  ,"November 17, 2022 at 3:30 PM GMT+5:30"
279,"Multiple explosions were reported across Ukraine Thursday, including in the capital, Kyiv, in Odessa in the south and in the central city of Dnipro. ",meter-true,Ukraine live briefing: Strikes reported across Ukraine; grain deal extended by four months ,"November 17, 2022 at 12:30 PM GMT+5:30"
280,"Meta’s independent Oversight Board overturned the social media giant’s decision to remove a Facebook post, likening Russian soldiers to Nazis.",meter-true,Oversight Board tells Meta to restore post comparing Russians to Nazis,"November 16, 2022 at 6:30 PM GMT+5:30"
281,Negotiating a diplomatic solution to the conflict is just common sense.,meter-true,Opinion | How to end the war in Ukraine? Sit down and talk. It’s time.,"November 15, 2022 at 6:32 PM GMT+5:30"
282,"Ukrainian officials accused Russia of launching a fresh volley of strikes against targets across the country, including in the capital.",meter-true,"Missile that killed two in Poland ‘unlikely’ to have come from Russia, Biden says","November 15, 2022 at 12:30 PM GMT+5:30"
283,"The Ukrainian president made a triumphant visit Monday to the liberated regional capital, highlighting the Kremlin's failure to achieve its annexation goals.",meter-true,"Visiting liberated Kherson, Zelensky sees ‘beginning of the end of the war’ ","November 14, 2022 at 3:29 PM GMT+5:30"
284,Ukraine says Russians wrecked key infrastructure in Kherson and left residents without water and power before withdrawing.,meter-true,Ukraine live briefing: Triumphant Zelensky visits recaptured Kherson; CIA director meets with Russian counterpart ,"November 14, 2022 at 12:30 PM GMT+5:30"
285,"Meanwhile, Russian President Vladimir Putin proposed a law to strip the citizenship of people who criticize the war if they have foreign parents.",meter-true,Ukraine live briefing: Kherson tries to rebuild infrastructure; White House pledges more aid,"November 13, 2022 at 12:40 PM GMT+5:30"
286,"Celebrations in Ukraine continued Saturday, after Ukrainian President Volodymyr Zelensky announced that Kyiv had retaken much of the strategic city of Kherson.",meter-true,"Ukraine live briefing: Kherson elated about Ukrainian control, but city has ‘no electricity or water’","November 12, 2022 at 12:30 PM GMT+5:30"
287,The Russian withdrawal from Kherson has set an entire region in motion.,meter-true,Opinion | How my aunt’s village is celebrating liberation from the Russians,"November 12, 2022 at 3:27 AM GMT+5:30"
288,Russia said Friday that it had finished withdrawing its troops from the western bank of the Dnieper River in Kherson.,meter-true,Ukraine live briefing: Zelensky hails ‘historic day’ as Ukrainian troops take city of Kherson,"November 11, 2022 at 12:30 PM GMT+5:30"
289,Ukraine's announcement comes after Russia said it will evacuate its troops from the strategic city of Kherson and its surrounding area.,meter-true,Ukraine live briefing: Ukrainian troops advance on Kherson with caution; U.S. to send more air defenses ,"November 10, 2022 at 12:30 PM GMT+5:30"
290,"Russian Defense Minister Sergei Shoigu said that Russian troops were retreating east of the Dnieper River, a major setback for Putin.",meter-true,Ukraine live briefing: Russia announces retreat from city of Kherson,"November 09, 2022 at 2:01 PM GMT+5:30"
291,"As the COP27 climate conference convened, Ukrainian President Volodymyr Zelensky said: ""Anyone serious about climate should oppose the war."" ",meter-true,Ukraine live briefing: U.S. confirms Moscow communications; Zelensky calls for peace in address to climate summit ,"November 08, 2022 at 12:29 PM GMT+5:30"
292,"In the occupied Kherson region, Ukrainian forces claimed responsibility for an attack on a Russian base as they continued to target Russian logistics there.",meter-true,Ukraine live briefing: Leaders at COP27 say war has compounded climate crisis; millions without power in Kyiv,"November 07, 2022 at 12:06 PM GMT+5:30"
293,"An attack on Kherson cut power to the area, Russian-backed authorities said Sunday.",meter-true,"Ukraine live briefing: Grid damage leaves 4.5M in Kyiv area without power, Zelensky says","November 06, 2022 at 11:23 AM GMT+5:30"
294,The White House promised Ukraine a $400 million aid package that includes tank refurbishments and drones. ,meter-true,Ukraine live briefing: Iran says it gave Russia drones before war; Zelensky calls it a ‘confession’,"November 05, 2022 at 11:30 AM GMT+5:30"
295,"Putin urges residents to evacuate from Kherson while G-7 foreign ministers agree to help repair Ukraine's critical infrastructure, including energy and water.",meter-true,Ukraine live briefing: G-7 to offer infrastructure help to Ukraine; Putin tells Kherson residents to flee,"November 04, 2022 at 11:30 AM GMT+5:30"
296,The two-day gathering comes about a year after the G-7 promised to impose “massive consequences” on Russia if it invaded Ukraine.,meter-true,Ukraine live briefing: G-7 meets for talks on Russian oil; U.N. says no indication of undeclared nuclear activities in Ukraine,"November 03, 2022 at 11:13 AM GMT+5:30"
297,"Russia resumed participation in the U.N.-brokered grain initiative after pulling out this past weekend, citing an attack on its fleet that it blamed on Ukraine.",meter-true,Ukraine live briefing: Power outages hit Kyiv and other cities; Russia returns to grain deal,"November 02, 2022 at 11:52 AM GMT+5:30"
298,"Norway raised its military alert level starting Tuesday, citing Russia’s war in Ukraine after a spate of suspicious drone sightings.",meter-true,Russian neighbor Norway raises military alert after drone sightings,"November 01, 2022 at 6:23 PM GMT+5:30"
299,"Russia said it may block ships carrying grain from Ukraine's Black Sea ports, in a move that could have a profound impact on global food security.",meter-true,"Ukraine live briefing: Kyiv, Moscow to halt grain ships Wednesday","November 01, 2022 at 11:33 AM GMT+5:30"
300,"It is vital to keep all eyes and ears on Vladimir Putin’s deeds, not be distracted by his words. He is carrying out war crimes in Ukraine.",meter-true,Opinion | Ignore Putin’s words. His crimes in Ukraine speak louder.,"October 29, 2022 at 4:30 PM GMT+5:30"
301,"Moscow says it will pause the U.N.-brokered grain deal after Ukrainian drone strikes on warships in Sevastopol, Crimea, on Saturday.",meter-true,Ukraine live briefing: Russia pauses grain deal after Ukraine strikes warships in Sevastopol,"October 29, 2022 at 11:30 AM GMT+5:30"
302,Tech giants like Musk wield outsize influence over the course of global events.,meter-true,Opinion | The hidden danger lurking behind Elon Musk’s Twitter takeover,"October 28, 2022 at 8:27 PM GMT+5:30"
303,President Biden expressed skepticism of Russia's intentions after Vladimir Putin downplayed the chance that he would use a nuclear weapon in Ukraine. ,meter-true,Ukraine live briefing: Russia says mobilization complete; Pentagon offers modest new aid package ,"October 28, 2022 at 11:41 AM GMT+5:30"
304,"Western powers have warned that Russia will use the claim that Ukraine is planning to use a ""dirty bomb"" on its own soil as a pretext for escalating the war.",meter-true,"Ukraine live briefing: Putin decries Western ‘liberal elites,’ plays down nuclear fears in global affairs speech ","October 27, 2022 at 11:31 AM GMT+5:30"
305,"Russia began routine annual exercises involving large-scale drills of its strategic nuclear forces, even as tensions flare with the West over Ukraine.",meter-true,Ukraine live briefing: Body of U.S. citizen killed in war released to Ukraine; Russia stages nuclear force drills,"October 26, 2022 at 11:31 AM GMT+5:30"
306,"In the Donetsk region, Ukrainians hit Wagner mercenaries trying to take Bakhmut. To the south, they struck fighters loyal to Chechen leader Ramzan Kadyrov.",meter-true,Ukrainian forces advance against Russian fighters in Kherson and Bakhmut,"October 25, 2022 at 5:28 PM GMT+5:30"
307,"At the U.N. Security Council, Russia could repeat its accusation that Ukraine will use a bomb on its own territory — a claim the West has dismissed.",meter-true,Ukraine live briefing: Congressional Progressive Caucus withdraws Ukraine letter; Brittney Griner appeal rejected,"October 25, 2022 at 11:30 AM GMT+5:30"
308,"If you support democracy at home and abroad, vote for Democrats.",meter-true,Opinion | The midterms are a referendum on democracy in America and Ukraine ,"October 24, 2022 at 10:41 PM GMT+5:30"
309,"Russia, without evidence, told Western officials that Ukraine was preparing to use a “dirty bomb” on its own territory — a claim Kyiv has rejected.",meter-true,Western powers warn Russia could use ‘dirty bomb’ claim to escalate war,"October 24, 2022 at 7:20 PM GMT+5:30"
310,"Britain, France and the United States said Russia's unfounded claims that Ukraine plans to use a ""dirty bomb"" on its own territory are not true.",meter-true,"Ukraine live briefing: Russian ‘dirty bomb’ claims transparently false, White House says","October 24, 2022 at 11:34 AM GMT+5:30"
311,"Many said they would not vote for Vance. In a tight contest, such sentiments could have far-reaching implications. ",meter-true,"In Ohio, Vance faces backlash in Ukrainian community over war stance","October 23, 2022 at 2:43 PM GMT+5:30"
312,"The U.K. Defense Ministry ""refuted these claims"" from Russian Defense Minister Sergei Shoigu, who said without evidence that Ukraine plans to use a dirty bomb.",meter-true,Ukraine live briefing: Pelosi to speak at summit; British official warns of Kremlin pretext,"October 23, 2022 at 11:46 AM GMT+5:30"
313,"Russian authorities tell Kherson residents to flee the southern city. Russian cruise missiles target several Ukrainian cities, wiping out electricity. ",meter-true,Ukraine live briefing: Zelensky underscores scope of Russian attacks; Kremlin-backed Kherson authorities urge evacuation,"October 22, 2022 at 11:30 AM GMT+5:30"
314,The United States said Iranian military personnel in Crimea are assisting Russia in its drone attacks against Ukraine.,meter-true,Ukraine live briefing: U.S. defense secretary speaks with Russian counterpart; Zelensky warns Moscow plans ‘false flag’ attack,"October 21, 2022 at 11:45 AM GMT+5:30"
315,Americans see Ukraine as succeeding in its fight against the Russian invasion. That might explain the robust public support for Ukraine.,meter-true,"Analysis | Public support for Ukraine remains high in the U.S., survey shows","October 20, 2022 at 4:30 PM GMT+5:30"
316,"Russian proxies' statements about potential Ukrainian offensives in Kherson may be setting the stage for a major withdrawal across the Dnieper River, analysts said.",meter-true,Ukraine live briefing: Ukrainians face power blackouts as Zelensky warns of Russian plot,"October 20, 2022 at 11:36 AM GMT+5:30"
317,"Our research finds evidence of Russian “stealth resistance” to the war in Ukraine — including acts of sabotage, resistance art and other forms of activism ",meter-true,Analysis | Russia’s antiwar movement goes far beyond street protests,"October 18, 2022 at 2:30 PM GMT+5:30"
318,A Russian fighter-bomber crash near Krasnodor killed 13 people. President Zelensky said 30 percent of Ukraine's power stations have been destroyed since Oct. 10.,meter-true,Ukraine live briefing: Russia targets power facilities; Germany ousts cyber chief accused of Russia connections ,"October 18, 2022 at 11:44 AM GMT+5:30"
319,Moscow's mayor said he is ending the city’s military mobilization drive after searches for men evading the draft there caused a fierce backlash.,meter-true,Ukraine live briefing: Deadly drone strikes rock central Kyiv; Russian plane crash kills at least 4 at apartment complex,"October 17, 2022 at 10:06 AM GMT+5:30"
320,"Two people opened fire at a military training ground in the Belgorod region of Russia, killing 11 and injuring 15, state media reported.",meter-true,"Ukraine live briefing: Moscow decries base shooting; Iran planning to send missiles, drones to Russia","October 16, 2022 at 11:07 AM GMT+5:30"
321,"Elon Musk says his SpaceX company will continue to provide satellite internet in Ukraine. On Friday, he had threatened to pull funding.",meter-true,Ukraine live briefing: 11 killed in Russian training base shooting; Musk says he’ll continue funding Starlink,"October 15, 2022 at 11:00 AM GMT+5:30"
322,"Residents of Kupiansk were thrilled when Ukrainian forces ousted the Russians who had occupied the town for months, but then devastation and destruction began. ",meter-true,"In Kupiansk, in northeast Ukraine, liberation came at a steep cost","October 15, 2022 at 10:30 AM GMT+5:30"
323,"Elon Musk said SpaceX cannot fund its Starlink system for Ukraine ""indefinitely."" A Moscow-installed leader in Kherson urged families to flee to Russia, and Kyiv demanded that the ICRC visit a POW camp.",meter-true,Ukraine briefing: Putin says mobilization will end soon; U.S. announces more security aid for Ukraine,"October 14, 2022 at 11:46 AM GMT+5:30"
324,"Sergei Surovikin was called ""General Armageddon"" in Syria, and the recent merciless bombing in Ukraine recalls Russia's approach in propping up Bashar al-Assad.",meter-true,Russia’s new commander in Ukraine was decorated after brutality in Syria,"October 12, 2022 at 4:40 PM GMT+5:30"
325,President Vladimir Putin speaks at Russian Energy Week. NATO ministers and the Ukraine Defense Contact Group hold meetings in Brussels.,meter-true,U.N. condemns Russia’s annexation of Ukraine territory; NATO says air defense systems a ‘priority’,"October 12, 2022 at 11:23 AM GMT+5:30"
326,"G-7 leaders said they would ""stand firmly with Ukraine"" as Moscow ramped up missile and drone strikes against infrastructure and civilian targets. ",meter-true,Biden says Putin ‘totally miscalculated’ Ukraine invasion amid calls for air defense systems,"October 11, 2022 at 10:49 AM GMT+5:30"
327,"Several blasts hit the center of the Ukrainian capital in rush hour, killing civilians. Vladimir Putin boasted of a ""massive"" strike to avenge the bridge attack. ",meter-true,Russia strikes Kyiv and cities across Ukraine after Crimea Bridge attack ,"October 10, 2022 at 12:44 PM GMT+5:30"
328,"Russian President Vladimir Putin promised reprisal after the Crimean Bridge explosion. Strikes hit Kyiv, Zaporizhzhia, Kharkiv and other cities. ",meter-true,Putin boasts of ‘massive strike’ across Ukraine in significant escalation of war,"October 10, 2022 at 10:52 AM GMT+5:30"
329,"Kyiv and Moscow accused each other of ""terrorism"" and vowed revenge after an explosion damaged Russian infrastructure and airstrikes killed 14 Ukrainians.",meter-true,"Ukraine live briefing: Putin, Zelensky trade accusations of ‘terrorism’ as bloody weekend ebbs ","October 09, 2022 at 10:48 AM GMT+5:30"
330,The Kerch Strait Bridge that links Russia to annexed Crimea is a key supply route for Russian troops. Putin had hailed its construction as a win. ,meter-true,Ukraine live briefing: Kyiv celebrates Crimean Bridge blast; Russia appoints new top commander ,"October 08, 2022 at 11:31 AM GMT+5:30"
331,"This year's Nobel Peace Prize was given to human rights activists from Ukraine, Russia and Belarus, and was awarded on Putin's 70th birthday. ",meter-true,Ukraine live briefing: Russian and Ukrainian groups win Nobel prize; Russian attacks mount in south,"October 07, 2022 at 11:33 AM GMT+5:30"
332,"“We do not think that any objective investigation is possible without the participation of the Russian side,” Kremlin spokesman Dmitry Peskov said.",meter-true,"Ukraine live briefing: Evidence points to Nord Stream sabotage, Swedish investigation finds","October 06, 2022 at 11:36 AM GMT+5:30"
333,"The triumphalism of the moment might be premature, but the changed mind-set on Russia runs deep.",meter-true,Opinion | How the war in Ukraine has remade Europe,"October 06, 2022 at 4:12 AM GMT+5:30"
334,These unmanned aerial vehicles can be force-multipliers. No wonder a bipartisan group of 17 members of Congress has urged President Biden to expedite delivery. ,meter-true,Opinion | Ukraine needs advanced U.S. drones that can instantly transform a battle,"October 05, 2022 at 4:30 PM GMT+5:30"
335,"The Luhansk and Donetsk militias will be incorporated into Russia’s military, while residents will become Russian citizens upon taking an oath of loyalty, new documents claim.",meter-true,Ukraine live briefing: Putin formalizes annexation claims as Kyiv advances in the south and east,"October 05, 2022 at 11:37 AM GMT+5:30"
336,"Russia's upper house finalized the so-called annexation of Ukrainian regions, as Ukraine's president hailed battlefield gains.",meter-true,Ukraine live briefing: Kyiv breaks through in south and east; U.S. authorizes new military aid ,"October 04, 2022 at 11:49 AM GMT+5:30"
337,"Russian lawmakers ratified the so-called annexation of four Ukrainian regions after Russian troops fled Lyman, a key hub in Donetsk.",meter-true,Ukraine live briefing: Lyman retreat buoys Ukrainian advance as Russian lawmakers approve annexations ,"October 03, 2022 at 12:22 PM GMT+5:30"
338,"Lyman, a city in Donetsk, has been ""fully cleared"" of Russian troops, Ukrainian President Volodymyr Zelensky said Sunday.",meter-true,"Ukraine live briefing: U.S., U.K. say Russia’s retreat from Lyman ‘significant,’ hurts its ability to resupply troops","October 02, 2022 at 11:30 AM GMT+5:30"
339,"""You want to shout to the whole world,"" one prisoner's sister says as families press for the medics' release. Their capture and treatment could constitute a war crime. ",meter-true,Their loved ones are Ukrainian medics — and Russian prisoners of war,"October 02, 2022 at 10:30 AM GMT+5:30"
340,"Ukrainian forces said they had surrounded Russian forces in the eastern city of Lyman, advancing in one of four regions annexed by Russia.",meter-true,Ukraine live briefing: Ukraine claims control of Lyman after Russians withdraw,"October 01, 2022 at 8:44 AM GMT+5:30"
341,Vladimir Putin’s language is escalating precisely because his strategic position is deteriorating.,meter-true,Opinion | Facts on the ground matter more than rants at the Kremlin,"October 01, 2022 at 1:10 AM GMT+5:30"
342,"With repeated military blunders, Vladimir Putin trapped himself in a failing war in Ukraine. A speech on annexing territory showed him struggling to get a grip. ",meter-true,"Analysis | As war fails, Russia’s authoritarian grandmaster backs himself into a corner","September 30, 2022 at 11:18 PM GMT+5:30"
343,"Russia’s Vladimir Putin will sign a treaty annexing parts of Ukraine on Friday, as separatist leaders arrive in Moscow and investigations into Nord Stream gas explosions continue.",meter-true,Ukraine briefing: Putin to formalize annexation of Ukrainian territories after staged referendums ,"September 29, 2022 at 12:08 PM GMT+5:30"
344,Game developers at a new studio in Poland aimed at helping develop the popular war sim franchise have embraced those fleeing the Russian invasion.,meter-true,Call of Duty makers aid refugees of Russia’s invasion of Ukraine,"September 28, 2022 at 9:15 PM GMT+5:30"
345,The European Union vowed to investigate explosions of Nord Stream gas pipelines. The United States condemned staged referendums in Russian-controlled parts of Ukraine. ,meter-true,Ukraine live briefing: West condemns staged referendums; U.S. to send more long-range rocket systems ,"September 28, 2022 at 10:30 AM GMT+5:30"
346,"With the Russian president's impending announcement, and fears that it could be accompanied by a declaration of martial law, the exodus of fighting-age Russian men trying to flee military mobilization appeared to be reaching critical levels.",meter-true,Staged referendums yield expected result as Russia readies annexations,"September 27, 2022 at 6:23 PM GMT+5:30"
347,"Tuesday marks the final day of referendums staged by Kremlin-aligned officials in Ukraine’s Donetsk, Luhansk, Zaporizhzhia and Kherson areas. ",meter-true,Ukraine live briefing: Final day of staged referendums; ‘sabotage’ investigation after Nord Stream explosions,"September 27, 2022 at 11:09 AM GMT+5:30"
348,"The United States will send $457.5 million in additional civilian security aid to Ukraine, Secretary of State Antony Blinken announced Monday. ",meter-true,Ukraine live briefing: Gunman attacks Russian military center; Snowden granted Russian citizenship ,"September 26, 2022 at 11:55 AM GMT+5:30"
349,"Ukraine's president says Kremlin-backed troops are targeting ethnic minorities. Russia vowed ""protection"" for Ukrainian areas annexed in its staged referendums.",meter-true,"Ukraine live briefing: Russian troop mobilization targets ethnic minorities, Zelensky says","September 25, 2022 at 10:35 AM GMT+5:30"
350,"The Kremlin's staged referendums in Luhansk, Donetsk, Kherson and Zaporizhizhia continued on Saturday. ",meter-true,Ukraine live briefing: Hundreds arrested in Russia during anti-mobilization protests,"September 24, 2022 at 11:30 AM GMT+5:30"
351,Putin insisted only reservists would be called to duty but critics say military summonses are being issued to punish antiwar activists and persecute minorities,meter-true,Anger flares as Russia mobilization hits minority regions and protesters,"September 24, 2022 at 3:57 AM GMT+5:30"
352,"The referendums for Luhansk, Donetsk, Kherson and Zaporizhzhia lay the groundwork for Russia to annex swaths of Ukraine.",meter-true,"Ukraine live briefing: Russia stages annexation referendums, announces exceptions to military call-up","September 23, 2022 at 10:30 AM GMT+5:30"
353,Two U.S. veterans and five Britons were among nearly 300 people released as part of a prisoner exchange between Moscow and Kyiv.,meter-true,Ukraine live briefing: Russia vows to defend annexed territories ahead of staged referendums ,"September 22, 2022 at 1:10 PM GMT+5:30"
354,"Following battlefield setbacks over recent weeks, Russian President Vladimir Putin delivered on Wednesday a national address.",meter-true,Read Putin’s national address on a partial military mobilization,"September 21, 2022 at 10:58 PM GMT+5:30"
355,Zelensky's U.N. General Assembly address came after officials decried as a dangerous escalation Russian President Vladimir Putin’s partial military mobilization.,meter-true,Zelensky urges ‘just punishment’ for Russia in U.N. address,"September 21, 2022 at 11:26 AM GMT+5:30"
356,"António Guterres said problems such as poverty, indebtedness, online hate and biodiversity loss are linked to the international system’s failure to function. ",meter-true,U.N. chief says world is ‘gridlocked in colossal global dysfunction’,"September 21, 2022 at 4:29 AM GMT+5:30"
357,Attorney General Merrick Garland and his Ukrainian counterpart have signed an agreement to formalize cooperation in joint efforts to prosecute alleged war crimes.,meter-true,Garland meets Ukraine’s prosecutor general amid new signs of atrocities ,"September 21, 2022 at 1:37 AM GMT+5:30"
358,"“The United States will never recognize Russia’s claims to purportedly annexed territory,” White House national security adviser Jake Sullivan told reporters.",meter-true,Ukraine live briefing: Putin to speak after Russia-backed officials in Ukraine regions call for referendums ,"September 20, 2022 at 1:25 PM GMT+5:30"
359,"The St. Javelin meme is inspired by the Virgin Mary, who despite being known for peace, can be found in centuries of war art.",meter-true,How the St. Javelin meme raised a million dollars for Ukraine,"September 18, 2022 at 6:30 PM GMT+5:30"
360,"Dancer and teacher Oleksandr Shapoval, a father of two who volunteered for the army, is remembered as “a pure and bright soul.”",meter-true,Perspective | Beloved dancer’s death on Ukraine battlefield underscores cost of war,"September 16, 2022 at 3:30 PM GMT+5:30"
361,Ukrainian President Volodymyr Zelensky said a “mass burial site” was discovered after Russia's retreat from Izyum. ,meter-true,Ukraine briefing: Izyum mass burial site under investigation; Biden to meet Griner’s wife,"September 16, 2022 at 12:30 PM GMT+5:30"
362,"Russia's annual military exhibition had new significance this year, with displays including “trophies” it claims to have taken from Ukraine. ",meter-true,"Inside Russia’s military expo, in photos ","September 16, 2022 at 8:18 AM GMT+5:30"
363,"Ursula von der Leyen is in Kyiv to discuss E.U. trade, while Chinese President Xi Jinping met with Russian President Vladimir Putin in Uzbekistan.",meter-true,Ukraine live briefing: Mass burial site discovered in Izyum; E.U. chief in Kyiv,"September 15, 2022 at 12:54 PM GMT+5:30"
364,"Ukrainian President Volodymyr Zelensky visited the recaptured town of Izyum in the Kharkiv region, and European Commission President Ursula von der Leyen vowed to tackle the energy crisis.",meter-true,Ukraine live briefing: Zelensky visits reclaimed Izyum; E.U. moves ahead with emergency measures on energy,"September 14, 2022 at 1:00 PM GMT+5:30"
365,"Photos of Ukrainian flags raised in Bohorodychne and Sviatohirsk were widely shared on social media, as Russia announced a decision to “regroup.”",meter-true,Ukraine live briefing: Russian retreat in northeast fuels cautious optimism for Kyiv and allies,"September 13, 2022 at 1:18 PM GMT+5:30"
366,"In less than a week, Ukraine’s military made startling gains against Russian forces in the Kharkiv region, potentially changing the tide of a war that has raged for more than half a year and changed the geopolitical fabric of Europe.",meter-true,These maps show Ukraine’s latest victories against Russia  ,"September 13, 2022 at 2:39 AM GMT+5:30"
367,"Secretary of State Antony Blinken visits Kyiv. Hundreds of thousands of Ukrainians have been interrogated, detained or forcibly deported to Russia, U.S. officials say. ",meter-true,Ukraine live briefing: U.S. to give $2.6B more in aid for Kyiv and neighbors; Zelensky cheers gains in Kharkiv,"September 08, 2022 at 1:10 PM GMT+5:30"
368,The International Atomic Energy Agency found extensive damage at the plant and warned of a “catastrophic” threat from shelling.,meter-true,Ukraine live briefing: Putin claims Russia has ‘lost nothing’ in Ukraine; Kyiv reports gains in the north,"September 07, 2022 at 1:39 PM GMT+5:30"
369,The report by the International Atomic Energy Agency highlighted the prospect that radioactive material could be released from the Zaporizhizhia nuclear power plant.,meter-true,Ukraine live briefing: U.N. issues first report on Zaporizhzhia; small gains reported in Ukrainian offensive,"September 06, 2022 at 1:53 PM GMT+5:30"
370,Some experts from the International Atomic Energy Agency left the Zaporizhzhia nuclear power plant. ,meter-true,Ukraine live briefing: Kyiv claims areas ‘liberated’ in the south; Putin approves new foreign policy doctrine,"September 05, 2022 at 1:43 PM GMT+5:30"
371,Ukrainian President Volodymyr Zelensky warned that “Russia is preparing for a decisive energy attack on all Europeans” this winter. ,meter-true,Ukraine live briefing: U.S. ambassador to Russia retiring; Germany announces $65 billion in aid for energy crisis,"September 04, 2022 at 1:54 PM GMT+5:30"
372,European leaders accused Russia of weaponizing energy after Gazprom said it won't reopen the Nord Stream 1 gas pipeline as planned.,meter-true,Ukraine live briefing: Nuclear plant disconnected from main line; European leaders blast Nord Stream shutdown,"September 03, 2022 at 1:21 PM GMT+5:30"
373,"Five inspectors will remain at the Zaporizhzhia plant through Saturday, after IAEA chief Rafael Mariano Grossi led a tour to evaluate the safety of the Russian-held facility.",meter-true,Ukraine live briefing: Russia will not restart Nord Stream 1; IAEA to have ‘permanent’ presence at nuclear plant,"September 02, 2022 at 1:30 PM GMT+5:30"
374,"The start of the academic year in Ukraine, normally heavy on ceremony, is anything but normal as Russia's invasion and bombardments continue. ",meter-true,"In Ukraine, first day of school is 190th day of Russian invasion","September 01, 2022 at 11:53 PM GMT+5:30"
