claim,dateOfPublish
"Russia denies hitting Ukrainian shopping centre with missiles, article with gallery","June 28, 2022"
"Ukraine is already using U.S.-supplied rocket systems in conflict, top general says, article with image","June 25, 2022"
"Ukraine set to quit ruined Sievierodonetsk as Russians close in, article with video","June 25, 2022"
"Analysis: Taliban's isolation makes Afghan earthquake response harder, article with video","June 23, 2022"
"Attacks in Sudan's Darfur bring new surge in people fleeing their homes, article with image","June 23, 2022"
"Tripoli factions on edge as Libya stalemate festers, article with video","June 22, 2022"
"A Somali boy's mission to find food as climate change takes its toll, article with video","June 20, 2022"
"Analysis: Colombia's first leftist leader Gustavo Petro targets inequality; investors on edge, article with image","June 20, 2022"
"Omnia sees Africa increasing farm input support amid food security fears, article with gallery","June 20, 2022"
"Colombia's new leftist president Petro promises to fight inequality, article with video","June 20, 2022"
"Hometown looks to aspiring Colombia VP Marquez to deliver on inequality promises, article with gallery","June 17, 2022"
"Yemeni journalist killed in car blast in Aden, article with gallery","June 16, 2022"
"What next? Ukraine's allies divided over Russia endgame, article with gallery","June 13, 2022"
"Global nuclear arsenal to grow for first time since Cold War, think-tank says, article with image","June 13, 2022"
"Ukraine says it remains in control of Sievierodonetsk plant sheltering hundreds, article with video","June 12, 2022"
"Colombia candidate Petro says 'human' campaign will carry him to victory, article with gallery","June 11, 2022"
"Two Britons, one Moroccan sentenced to death by court of Russian proxy in Ukraine, article with video","June 10, 2022"
"Russian army base sees scramble for war supplies, locals and soldiers say, article with gallery","June 8, 2022"
"Police recover explosives following massacre in Nigerian Catholic church, article with video","June 7, 2022"
"Syrian, Russian forces boosted after Turkey signals operation, officials say, article with gallery","June 7, 2022"
"U.S. broadcaster Radio Liberty fined $325,000 in Russia for 'fake news' - Interfax, article with gallery","June 6, 2022"
"Explainer: Israel-Lebanon sea boundary row obstructs energy development, article with image","June 6, 2022"
"Hezbollah says 'ready' to act if Lebanon says Israel violating water rights, article with gallery","June 6, 2022"
"Russia strikes Kyiv for first time in weeks as battle rages in east, article with video","June 6, 2022"
"Russia strikes Kyiv for first time in weeks as battle rages in east, article with video","June 6, 2022"
"Russia strikes Kyiv for first time in weeks, battle rages in east, article with video","June 5, 2022"
"High hopes Lavrov visit to Turkey unlocks Ukraine grain exports, Turkish source says, article with gallery","June 3, 2022"
"Mystery surrounds how munitions imported for Indonesia's civilian spies were used in attacks on villages, article with gallery","June 3, 2022"
"Ukraine's Zelenskiy eyes 'inflection point' in war as Russia tightens grip on key target, article with gallery","June 3, 2022"
"Russians reach centre of Ukraine industrial city; U.S. to give Kyiv advanced rockets, article with video","June 2, 2022"
"'Major confrontation' with Hezbollah ahead, says Lebanon Christian politician, article with gallery","June 1, 2022"
"Myanmar military, coup opponents trade blame after deadly bus stop blast, article with image","June 1, 2022"
"Pope's July visit to Africa to go ahead despite health issues, article with gallery","May 30, 2022"
"Congo suspends flights from Rwanda over Kigali's alleged support for rebels, article with image","May 28, 2022"
"Exclusive: U.S. and Ukraine discuss danger of escalation as new arms extend Kyiv's reach, article with gallery","May 27, 2022"
"Taiwan radio enthusiasts tune in as Chinese, U.S. warplanes crowd sensitive skies, article with video","May 25, 2022"
"U.S. still 'a ways away' from sending troops back into Ukraine, Joint Chiefs chairman says, article with video","May 24, 2022"
"Analysis: Biden's Taiwan remarks show conviction to defend island but carry risks, article with video","May 24, 2022"
"Three killed in Yemen's capital by downed drone, Houthi officials say, article with gallery","May 24, 2022"
"Colombia to train Ukrainian military on landmine removal, article with image","May 24, 2022"
"Factbox: Groups at the heart of Turkey's objections to NATO expansion, article with image","May 23, 2022"
"Putin promises to bolster Russia's IT security in face of cyber attacks, article with gallery","May 21, 2022"
"Journalists, general, militiamen arrested in Ethiopia's Amhara, article with gallery","May 21, 2022"
"Factbox: The big items in Washington's $40 billion Ukraine aid package, article with image","May 20, 2022"
"India, world's biggest buyer of Russian arms, looks to diversify suppliers, article with image","May 18, 2022"
"Lafarge loses latest appeal over crimes against humanity charges, article with image","May 18, 2022"
"Analysis: For Riyadh, Hezbollah setback is rare good news from Lebanon, article with gallery","May 18, 2022"
"Clashes force Libya's Bashagha from Tripoli after brief attempt to enter, article with video","May 18, 2022"
"Some Ethiopians claim forced recruitment by Tigrayan forces, article with gallery","May 16, 2022"
"Factbox: What is the Lebanese Forces?, article with gallery","May 16, 2022"
"Analysis: Neutral Switzerland leans closer to NATO in response to Russia, article with gallery","May 16, 2022"
"Battle rages for Ukrainian region of Donbas, article with gallery","May 16, 2022"
"Ukrainian troops holding destroyed village believe Russians withdrawing across border, article with gallery","May 16, 2022"
"Ukraine wages counteroffensive against Russian forces in east, article with video","May 15, 2022"
"Vatican number two says giving Ukraine weapons legitimate, with conditions, article with image","May 13, 2022"
"Behind blast walls, Somali parliament to choose new president, article with gallery","May 13, 2022"
"Russia says Finnish entry to NATO poses threat to which it will respond, article with image","May 12, 2022"
"Ukrainian hospital works overtime as trauma trains evacuate war-wounded, article with gallery","May 12, 2022"
"Russian troops ill-prepared for Ukraine war, says ex-Kremlin mercenary, article with gallery","May 12, 2022"
"Japan's Okinawa may be on the front lines again as it marks anniversary of U.S. handover, article with video","May 12, 2022"
"Factbox: A brief history of Finland's and Sweden's strained ties with Russia, article with image","May 12, 2022"
"Al Jazeera journalist killed during Israeli raid in West Bank, article with video","May 12, 2022"
"Ukraine reports battlefield gains as Europe's energy worries grow, article with video","May 12, 2022"
"Netherlands backs Morocco's Western Sahara autonomy plan- statement, article with gallery","May 11, 2022"
"Ukraine pushes back Russian troops in counter-offensive near Kharkiv, article with video","May 11, 2022"
"Russia's invasion of Ukraine at 'bit of a stalemate' -U.S. intel official, article with video","May 11, 2022"
"China wants to take Taiwan peacefully but is preparing militarily -U.S. intelligence officials, article with image","May 10, 2022"
"Ukraine war fuels food crisis in distant Africa, article with video","May 10, 2022"
"Libyan parliament says Bashagha govt should start work in Sirte, article with image","May 10, 2022"
"Lebanon's descent into turmoil: assassinations, war, financial collapse, article with gallery","May 9, 2022"
"Two Palestinians killed, Israeli policeman stabbed as violence simmers, article with video","May 9, 2022"
"Ukraine says all women, children now evacuated from Mariupol steel mill, article with video","May 8, 2022"
"Putin to send 'doomsday' warning to West at Russia's WW2 victory parade, article with video","May 7, 2022"
"Ukraine asks medical charity MSF to help evacuate Azovstal fighters, article with image","May 6, 2022"
"Israel searches for Palestinians suspected of killing 3 in attack, article with video","May 6, 2022"
"Analysis: War a lost opportunity for Turkey's westward outreach, article with gallery","May 5, 2022"
"Colombia extradites accused drug trafficker Otoniel to the United States, article with gallery","May 5, 2022"
"Kremlin dismisses speculation Putin to declare war on Ukraine on May 9, article with image","May 4, 2022"
"Civilians from Mariupol flee Azovstal bunkers in U.N.-led evacuation, article with video","May 2, 2022"
"Russia says risks of nuclear war must be kept to minimum, TASS reports, article with image","April 30, 2022"
"Six soldiers killed in Central African Republic rebel attack, article with gallery","April 29, 2022"
"Canada lawmakers vote unanimously to label Russia's acts in Ukraine as 'genocide', article with image","April 28, 2022"
"UK's Johnson says Putin has room to withdraw from Ukraine, article with gallery","April 27, 2022"
"Putin ally says Ukraine heading for collapse into several states, article with image","April 26, 2022"
"Shrinking U.S. Stinger missile supply faces re-stocking challenges, article with gallery","April 26, 2022"
"Park rangers enter fray in West Africa's battle with militants, article with gallery","April 26, 2022"
"Ukraine prepares war crimes charges against Russian military personnel, including pilots, article with gallery","April 26, 2022"
"UK dismisses Lavrov's ""bravado"", says no imminent threat of escalation in Ukraine, article with gallery","April 26, 2022"
"West Darfur fighting spreads to capital city El Geneina - residents, article with gallery","April 26, 2022"
"On Ukraine visit, Blinken, Austin pledge return of U.S. diplomats, more security aid, article with gallery","April 25, 2022"
"Ukraine to call for heavy arms when top U.S. officials visit Kyiv, article with video","April 25, 2022"
"Russia renews Mariupol attack, missiles hit Odesa, Ukraine says, article with video","April 24, 2022"
"Ethiopians queue up to volunteer for Russia's fight in Ukraine, article with video","April 21, 2022"
"Russia tests nuclear-capable missile that Putin calls world's best, article with video","April 21, 2022"
"Libya's Bashagha to hold cabinet meeting in Sebha, article with image","April 21, 2022"
"Russian tycoon Tinkov denounces 'crazy war' in Ukraine, article with image","April 19, 2022"
"Ukrainians deported to Russia from besieged Mariupol dream of home, article with image","April 19, 2022"
"Russian teacher rejected Kremlin propaganda, then paid the price, article with gallery","April 18, 2022"
"Russia says its forces clear most of Mariupol, strike Kyiv suburb, article with video","April 17, 2022"
"Ukraine says fighting rages in Mariupol, blasts rattle Kyiv, article with gallery","April 16, 2022"
"How big a loss to Russia is the sinking of the Moskva missile cruiser?, article with image","April 15, 2022"
"Analysis: Jerusalem clashes raise fears of wider conflict, article with gallery","April 15, 2022"
"Mali massacre survivors say white mercenaries involved in killings, article with video","April 14, 2022"
"Rheinmetall ready to supply up to 50 tanks to Ukraine - newspaper, article with image","April 11, 2022"
"East Ukraine focus of new Russian assaults, article with gallery","April 11, 2022"
"Putin's approval rating soars since he sent troops into Ukraine, state pollster reports, article with image","April 8, 2022"
"Russia complains to Turkey over drones sales to Ukraine, Turkish bureaucrat says, article with image","April 8, 2022"
"Ukraine is effectively using landmines in war with Russia - U.S. general, article with image","April 7, 2022"
"Turkey's Cavusoglu says Blinken invited him for first talks in three years, article with gallery","April 7, 2022"
"Lukashenko says there must be no Ukraine deal 'behind Belarus's back', article with image","April 7, 2022"
"Armenia, Azerbaijan agree Karabakh peace talks, will discuss border, article with image","April 7, 2022"
"Colombia court approves extradition to the U.S. of accused drug trafficker Otoniel, article with image","April 7, 2022"
"UK, U.S., Australia agree to work on hypersonics under defence pact, article with image","April 6, 2022"
"In heated exchange, U.S. defense chief defends Ukraine response, article with video","April 6, 2022"
"Malian, foreign soldiers allegedly killed hundreds in town siege -rights group, article with image","April 6, 2022"
"Twitter won't recommend Russia govt accounts, will prohibit some POW content, article with image","April 5, 2022"
"Hunger in Africa surges due to conflict, climate and food prices, article with gallery","April 5, 2022"
"Human Rights Watch accuses Russian forces of 'apparent war crimes' in Ukraine, article with video","April 3, 2022"
"Patriarch urges soldiers to defend 'peace-loving' Russia amid Ukraine campaign, article with gallery","April 3, 2022"
"Italy defers NATO defence spending goal to 2028 in coalition compromise, article with image","March 31, 2022"
"Britain's GCHQ spy chief says Russian soldiers refused to carry out orders in Ukraine, article with video","March 31, 2022"
"Russians abroad try to get Ukraine news to relatives in their homeland, article with video","March 31, 2022"
"Loud blast, gunshots as suspected bandits attack Nigerian train, article with video","March 30, 2022"
"Ethiopia releases former Tigray government officials - lawyer, article with image","March 30, 2022"
"In villages near Kyiv, how Ukraine has kept Russia's army at bay, article with gallery","March 30, 2022"
"Russia says it will sharply cut military activity near Kyiv, Chernihiv, article with image","March 29, 2022"
"FARC dissidents responsible for bombing that killed two children, says Colombia's Duque, article with image","March 29, 2022"
"Ex-separatist leader calls Russian attack on Ukraine a mistake, article with image","March 28, 2022"
"Ukraine asks Red Cross not to open office in Russia's Rostov-on-Don, article with video","March 27, 2022"
"Rockets hit western Ukraine as Biden visits Poland, decries Putin, article with video","March 27, 2022"
"Iraq parliament fails to elect new state president over lack of quorum, article with image","March 26, 2022"
"Ethiopia's Tigray region says it will observe humanitarian ceasefire, article with gallery","March 25, 2022"
"West assails Russian 'barbarism' as Ukrainians shelter from bombardment, article with video","March 25, 2022"
"Russia says Poland destroying relations with expulsions, vows tough response, article with image","March 24, 2022"
"A month into war, communicator-in-chief Zelenskiy strives to keep eyes on Ukraine, article with gallery","March 24, 2022"
"India rebukes China's foreign minister over Kashmir remarks ahead of planned visit, article with gallery","March 24, 2022"
"Turkey urges Libya to avoid steps that could renew clashes, article with gallery","March 24, 2022"
"Colombia's violence causes more displacement, explosives' victims - ICRC, article with gallery","March 24, 2022"
"Taiwan weighs extending compulsory military service beyond 4 months, article with image","March 23, 2022"
"Ukraine military tells residents to brace for indiscriminate Russian shelling, article with video","March 22, 2022"
"Russia may not stop with Ukraine – NATO looks to its weakest link, article with video","March 22, 2022"
"ASEAN peace envoy meets Myanmar junta on visit opponents deride as 'shameful', article with image","March 21, 2022"
"Putin tells Macron about Russia's approach to possible Ukraine deal, article with image","March 18, 2022"
"Putin discusses Ukraine with Russian security council, article with image","March 18, 2022"
"Russia's advance in Ukraine stalls; U.S. warns China on aiding Moscow, article with video","March 18, 2022"
"Analysis: Chinese military aid to Russia would be major role reversal, analysts say, article with image","March 17, 2022"
"European leaders' risky Kyiv mission took even close family by surprise, article with gallery","March 17, 2022"
"Poland wants to urgently buy U.S. Reaper drones, as Russia fears mount, article with image","March 17, 2022"
"Kremlin says too early to disclose potential agreements on resolving Ukraine conflict - RIA, article with image","March 16, 2022"
"Analysis: From the Kremlin, Putin ponders war and peace, article with image","March 16, 2022"
"Biden to assess Ukraine conflict at NATO meeting next week, article with image","March 16, 2022"
"'Can you imagine?' war-hit Ukrainian president paints dire picture for Canadians, article with video","March 16, 2022"
"From Gaza to Ukraine and back: war haunts Palestinian students, article with gallery","March 15, 2022"
"French NGOs threaten court action unless TotalEnergies leaves Russia, article with gallery","March 15, 2022"
"No discussion of possible Putin-Biden summit, Kremlin says, article with image","March 14, 2022"
"Chechen leader Kadyrov says he travelled to Ukraine, article with image","March 14, 2022"
"'Mission impossible': U.N. in Cambodia showed early limits of nation building, article with gallery","March 13, 2022"
"Ukraine says Russian forces kill seven civilians in evacuation convoy, article with video","March 13, 2022"
"Ukraine says Russia wants to drag Belarus into war, warns of invasion plan, article with image","March 12, 2022"
"UK very concerned about potential use of chemical weapons in Ukraine - Truss, article with image","March 10, 2022"
"U.S. closes door on combat aircraft for Ukraine, citing 'high risk', article with image","March 10, 2022"
"Explainer: Massive risks keep talk of Ukraine no-fly zone firmly grounded, article with image","March 10, 2022"
"Explainer: Fighter jets to Ukraine a step too far for NATO wary of war with Russia, article with image","March 9, 2022"
"U.S. rejects Poland's offer to give it Russian-made fighter jets for Ukraine, article with video","March 9, 2022"
"U.N. cultural agency moves to protect Ukraine's heritage sites, article with image","March 9, 2022"
"EU Commission proposes EU-wide laws to combat violence against women, article with image","March 8, 2022"
"Vatican tells Moscow armed attacks in Ukraine must stop, article with gallery","March 8, 2022"
"Ukraine and Russia: What you need to know right now, article with gallery","March 8, 2022"
"Russia warns on oil import ban as little progress is made at Ukraine talks, article with video","March 8, 2022"
"Moscow says it will let Ukrainian civilians flee — to Russia, article with video","March 8, 2022"
"Fighting traps residents in Mariupol; Putin calls on Ukraine to surrender, article with video","March 7, 2022"
"Talk of Russian nuclear escalation is brinkmanship, says UK's Raab, article with image","March 6, 2022"
"Putin likens Western sanctions to war as Russian assault traps Ukrainian civilians, article with video","March 6, 2022"
"Kremlin says the West is behaving like a bandit, article with image","March 5, 2022"
"Underground U.S. groups funnel fighters, medics to Ukraine, article with image","March 5, 2022"
"NATO rejects Ukraine no-fly zone, unhappy Zelenskiy says this means more bombing, article with video","March 5, 2022"
"Russia fights back in information war with jail warning, article with video","March 4, 2022"
"Russian upper house backs bill imposing jail terms for fake news about its army, article with image","March 4, 2022"
"New U.S.-Russia military hotline as Ukraine war rages, article with gallery","March 4, 2022"
"Libya crisis worsens as rival government takes oath, article with gallery","March 3, 2022"
"Pope to make often delayed visit to South Sudan in July, article with image","March 3, 2022"
"Russian troops enter strategic Black Sea port city of Kherson, mayor says, article with image","March 3, 2022"
"U.S. delays ICBM test-launch in bid to de-escalate Russia nuclear tensions, article with image","March 3, 2022"
"Libya's Bashagha says he will not use force to take office, article with image","March 2, 2022"
"Indonesia dismisses U.N. experts' call to probe alleged abuses in Papua, article with image","March 2, 2022"
"Libya parliament backs new government as crisis deepens, article with gallery","March 2, 2022"
"World Bank, IMF racing to get aid to Ukraine in coming weeks, months, article with image","March 2, 2022"
"Red Cross chief 'cautiously positive' about possible prisoner visits in Ukraine, article with image","March 2, 2022"
"Former comic actor Zelenskiy is unlikely war leader for Ukraine, article with video","March 2, 2022"
"Timeline: The events leading up to Russia's invasion of Ukraine, article with image","March 1, 2022"
"Iran says key issues still unresolved in nuclear talks, article with gallery","March 1, 2022"
"Norway to send weapons to Ukraine, in change of policy, article with image","February 28, 2022"
"Mothers, babies shelter in basement of children's hospital in Kyiv, article with video","February 28, 2022"
"Analysis: Putin forces Germany to step up to role as global power, article with gallery","February 28, 2022"
"EU says needs to prepare for millions of refugees from Ukraine, article with image","February 27, 2022"
"Putin puts nuclear 'deterrence' forces on alert, article with video","February 27, 2022"
"U.S. to provide additional security aid to Ukraine, Pentagon says, article with image","February 26, 2022"
"UK says NATO forces must not play active role in Ukraine, article with image","February 25, 2022"
"Biden hits Russia with new sanctions for 'premeditated' Ukraine attack, article with video","February 25, 2022"
"Libya parliament to vote on new government next week, article with image","February 24, 2022"
"Poland prepares medical train, hospital beds for Ukrainians, article with image","February 24, 2022"
"Kremlin critic Khodorkovsky urges Russians: stop Putin's Ukraine war, article with image","February 24, 2022"
"As U.N. Security Council met, Russia attacked Ukraine, article with gallery","February 24, 2022"
"ELN rebels blow up bridge, injure eight in attacks across Colombia -government, article with gallery","February 24, 2022"
"Demand for Hebrew lessons jumps in Gaza as Israel eases work restrictions, article with video","February 23, 2022"
"U.N. Myanmar expert says junta using new Russian, Chinese arms against civilians, article with gallery","February 23, 2022"
"Ukrainian president drafts reservists but rules out general mobilisation for now, article with image","February 23, 2022"
"UN rights boss urges dialogue, end to violence in Ukraine, article with gallery","February 22, 2022"
"West rails against Russian moves in Ukraine, calls for sanctions, article with gallery","February 22, 2022"
"Factbox: What are the Minsk agreements on the Ukraine conflict?, article with image","February 21, 2022"
"Myanmar junta urges ASEAN envoy not to engage with 'terrorist' groups, article with image","February 21, 2022"
"Putin oversees nuclear drills, U.S. says Russian forces 'poised to strike' Ukraine, article with video","February 20, 2022"
"Russia trying to provoke Ukraine's military to attack, Kyiv says, article with image","February 19, 2022"
"U.S. announces Abrams tanks for Poland as Russia threat mounts, article with gallery","February 18, 2022"
"Russia voices alarm over sharp increase of Donbass shelling, article with gallery","February 18, 2022"
"Russian-backed Ukraine rebels accuse government forces of mortar attack, article with gallery","February 17, 2022"
"U.S. warns against Russian false claims being used as pretext for Ukraine invasion, article with image","February 17, 2022"
"Despite battlefield success, small killer drones slow to spread in Southeast Asia, article with image","February 16, 2022"
"Ukrainian veterans in Poland prepare to re-enlist as Russia tensions mount, article with video","February 15, 2022"
"Eastern Europe braces for refugees as Russia-Ukraine conflict simmers, article with gallery","February 14, 2022"
"U.S. F-22 fighter jets arrive in UAE following Houthi attacks, article with image","February 13, 2022"
"Armed convoy moves into Tripoli to shore up interim PM, article with image","February 12, 2022"
"Exclusive: Myanmar army defector recounts heavy losses inflicted by Chin rebels, article with video","February 12, 2022"
"Failed coup puts spotlight back on Guinea-Bissau's role in cocaine trade, article with gallery","February 11, 2022"
"In Moscow, Macron found a different, tougher Putin, article with gallery","February 10, 2022"
"World Court orders Uganda to pay $325 million DR Congo reparations, article with video","February 10, 2022"
"'Where can we go?' Fear and self-defence near Ukraine's eastern frontiers, article with video","February 8, 2022"
"U.S. approves $100 million sale for Taiwan missile upgrades, article with image","February 8, 2022"
"Islamic State leader and family blended in among Syrians uprooted by war, article with gallery","February 4, 2022"
"Turkish warplanes attack Kurdish fighters in Iraq, Syria, article with video","February 2, 2022"
"Dutch PM, in Kyiv, urges justice for MH17 victims, dialogue in Ukraine crisis, article with gallery","February 2, 2022"
"Drug trafficking surging in year since Myanmar coup, article with image","February 2, 2022"
"Putin accuses U.S. of trying to lure Russia into war, article with video","February 2, 2022"
"Explainer: Stalemate in Myanmar as post-coup crisis drags on, article with gallery","February 1, 2022"
"Myanmar death toll exceeds 1,500 with nearly 8,800 in custody - UN, article with image","February 1, 2022"
"Britain considering major NATO deployment amid Ukraine crisis, article with image","January 30, 2022"
"Russian buildup at Ukraine border includes blood for wounded, U.S. officials say, article with video","January 29, 2022"
"Putin says West has not addressed key concerns in Ukraine standoff, article with video","January 29, 2022"
"Some Kazakh protesters feel they were tricked into fuelling clan feud, article with gallery","January 28, 2022"
"Guards clash again on Kyrgyz-Tajik border, ceasefire falters, article with image","January 28, 2022"
"More than 15,000 people displaced in new Darfur violence, U.N. says, article with image","January 27, 2022"
"Explainer: What are NATO's next steps if Russia invades Ukraine?, article with image","January 27, 2022"
"Lebanon's Hariri steps away from politics, upending election landscape, article with gallery","January 24, 2022"
"Factbox: Turbulent career in politics of Lebanon's Hariri, article with image","January 24, 2022"
"Libyan parliament committee urges change of PM, risking new strife, article with gallery","January 24, 2022"
"'Another crime' say survivors of coalition strikes on Yemeni detention centre, article with gallery","January 23, 2022"
"German navy chief resigns over Putin comments, article with image","January 23, 2022"
"Germany distances itself from navy chief's comments on Putin, article with image","January 22, 2022"
"Car bomb in eastern Colombia conflict area kills one, article with gallery","January 21, 2022"
"Canada agency says Russian-backed actors targeting infrastructure, article with gallery","January 21, 2022"
"In Western Sahara refugee camps, little optimism over frozen conflict, article with gallery","January 20, 2022"
"Canada, echoing U.S., says it fears armed conflict could erupt in Ukraine, article with image","January 19, 2022"
"Around 20 killed in deadliest coalition strikes on Yemen's Sanaa since 2019, article with video","January 19, 2022"
"Analysis: Best supporting actor? NATO in secondary role if Russia invades Ukraine, article with gallery","January 18, 2022"
"U.S. condemns deadly Houthi attack on Abu Dhabi; UAE reserves right to respond, article with video","January 18, 2022"
"Philippines says 'indispensable' Suu Kyi must be involved in Myanmar peace process, article with gallery","January 16, 2022"
"'Keep the defender guessing': Russia's military options on Ukraine, article with video","January 14, 2022"
"Iraqi cleric's push to sideline Iran-backed factions risks clash, article with gallery","January 14, 2022"
"U.N. envoy urges 'inclusive' ASEAN approach to Myanmar crisis, article with image","January 13, 2022"
"NATO offers arms talks as Russia warns of dangers, article with video","January 13, 2022"
"OSCE warns against hate incidents destabilising Bosnia, article with image","January 12, 2022"
"Residents question Ukraine's absence from talks about its future, article with image","January 10, 2022"
"Ex-paramilitaries stand trial for Guatemala civil war rape of 36 indigenous women, article with gallery","January 6, 2022"
"Blinken, German minister reiterate warning to Russia over Ukraine, article with video","January 6, 2022"
"EXCLUSIVE U.S. special envoy for Horn of Africa to leave post, article with gallery","January 5, 2022"
"U.S., Europeans warn Sudan's military against excluding civilians in transition, article with image","January 5, 2022"
"Explainer: Sudan's political transition in the balance, article with gallery","January 3, 2022"
"A Myanmar family flees to India with no plans to return soon, article with gallery","December 31, 2021"
"EU mulls arms embargo, more sanctions on Myanmar after 'appalling' violence, article with gallery","December 30, 2021"
"Special Report: Pilots detail chaotic collapse of the Afghan Air Force, article with gallery","December 29, 2021"
"U.S., Russia set for Jan 10 security talks amid Ukraine tensions, article with image","December 29, 2021"
"Turkey offers to mediate in Bosnian crisis 'to ensure stability', article with gallery","December 29, 2021"
"Houthis have fired 430 missiles, 851 drones at Saudi Arabia since 2015 - Saudi-led coalition, article with gallery","December 27, 2021"
"Putin says Russia doesn't want conflict but needs 'immediate' guarantees, article with image","December 24, 2021"
"'Keep the defender guessing': Russia's military options on Ukraine, article with image","December 23, 2021"
"Saudi coalition says it strikes military camp in Sanaa, Houthis say bombs hit prison, article with gallery","December 23, 2021"
"Explainer: Why Libya's election has collapsed and what comes next, article with gallery","December 23, 2021"
"Three bodies found, but scores buried by landslide at Myanmar jade mine, article with image","December 23, 2021"
"Scores feared dead after landslide at Myanmar jade mine, article with gallery","December 23, 2021"
"EXCLUSIVE U.S. concerned over Turkey's drone sales to conflict-hit Ethiopia, article with gallery","December 22, 2021"
"Libyan election collapses with no plan out of crisis, article with gallery","December 22, 2021"
"Some Bosnian Serbs fear leader's separatist course could bring chaos, article with image","December 22, 2021"
"Ethiopia says army clearing Tigrayan forces from two northern regions, article with gallery","December 21, 2021"
"Tigray forces withdraw from neighbouring Ethiopian regions -spokesman, article with image","December 21, 2021"
"Rights groups report wave of abuses against Tigrayans in Ethiopian region, article with gallery","December 17, 2021"
"In east Ukraine city, thoughts turn again to war, article with gallery","December 16, 2021"
"Pope calls for 'serious international dialogue' to defuse Ukraine tensions, article with gallery","December 12, 2021"
"Nigerians displaced by insurgency fear being forced to return home, article with video","December 9, 2021"
"North Cameroon violence between farmers, herders kills 22; residents flee, article with gallery","December 9, 2021"
"U.N. suspends food distribution in two towns in Ethiopia after looting, article with image","December 9, 2021"
"Canada's Omicron travel ban disrupts residents heading home, article with gallery","December 9, 2021"
"Factbox: Who is fighting in Yemen's war?, article with gallery","December 8, 2021"
"Saudi coalition bombs Sanaa in tit-for-tat violence with Houthis, article with gallery","December 8, 2021"
"Israeli's Gantz immune from prosecution in Gaza bombing case -Dutch court, article with gallery","December 7, 2021"
"Yemen Houthis bury their dead as fighting rages in gas-rich Marib, article with gallery","December 7, 2021"
"Biden and Putin head into Ukraine talks with scant room for compromise, article with gallery","December 7, 2021"
"Ukraine shows off U.S. military hardware, vows to fight off Russia, article with gallery","December 7, 2021"
"Factbox: What are the Minsk agreements on the Ukraine conflict?, article with image","December 6, 2021"
"Colombia ex-rebels grow disillusioned with FARC party 5 years after peace, article with gallery","December 2, 2021"
"U.S. revokes terrorist designation for Colombia's FARC, article with gallery","November 30, 2021"
"Belarus announces military drills with Russia near Ukraine border, article with image","November 29, 2021"
"Explainer: -What is behind unrest in the Solomon Islands?, article with image","November 29, 2021"
"UN, US express concern after incident at Libyan court, article with image","November 26, 2021"
"Libya fighters disrupt Gaddafi son's election appeal, article with gallery","November 26, 2021"
"Australian police take control of Solomon Islands capital - witnesses, article with video","November 26, 2021"
"Thousands protest in Sudan against deal between PM Hamdok and military, article with video","November 26, 2021"
"Colombia gets U.S. extradition request for accused drug trafficker Otoniel, article with image","November 25, 2021"
"In Russia-Ukraine faceoff, both sides stage combat drills, article with gallery","November 25, 2021"
"United Nations calls for immediate end to fighting in Ethiopia, article with gallery","November 25, 2021"
"U.S. amends Syria sanctions rules over NGO activities, article with image","November 24, 2021"
"Q+A What is the risk of a war between Russia and Ukraine?, article with gallery","November 24, 2021"
"United Nations calls for efforts to ensure economic future for Colombia ex-rebels, article with gallery","November 24, 2021"
"Colombia's armed forces seize cocaine worth over $300 million, article with image","November 24, 2021"
"Number of children recruited into conflict grows in West and Central Africa, article with gallery","November 23, 2021"
"Poland says Belarus border crisis may be prelude to ""something worse"", article with video","November 22, 2021"
"Europe must resist Belarus migrants' 'blackmail', Austria says, article with video","November 22, 2021"
"Britain outlaws Palestinian militant group Hamas -interior minister, article with image","November 20, 2021"
"U.S. warns China after South China Sea standoff with Philippines, article with image","November 19, 2021"
"In pitch to Africa, Blinken vows cleaner business deals, article with video","November 19, 2021"
"Security, climate dominate as U.S. Secretary of State kicks off Africa tour, article with video","November 18, 2021"
"Sanctions possible for those undermining Bosnia peace deal -Blinken, article with image","November 17, 2021"
"Gaddafi, Haftar election bids add fresh uncertainty to Libya turmoil, article with gallery","November 16, 2021"
"Libya's eastern commander Haftar announces election bid, article with gallery","November 16, 2021"
"Colombian troop surge seeks to stem drug-linked Venezuelan border violence, article with video","November 16, 2021"
"China's Xi expected to prioritise Taiwan issue in Biden discussion, article with image","November 15, 2021"
"U.S. blacklists Eritrean military over conflict in Ethiopia, article with image","November 13, 2021"
"I'll not sacrifice peace for Republika Srpska, Bosnian Serb leader says, article with image","November 11, 2021"
"Ethiopia rounds up high-profile Tigrayans, U.N. staff, article with video","November 11, 2021"
"Turkish defence firm to test sea-based drones as orders swell, article with gallery","November 10, 2021"
"Returning to ruined city, Libyan family struggles to rebuild, article with video","November 9, 2021"
"U.N. aid chief says Myanmar deteriorating, Security Council meets, article with image","November 9, 2021"
"Sudan internet cuts complicate civil disobedience campaign against coup, article with image","November 8, 2021"
"U.S. orders non-emergency government employees in Ethiopia to leave, article with image","November 7, 2021"
"New alliance wants to oust Ethiopia's PM by talks or force, article with video","November 6, 2021"
"U.S. Republicans want billions for Taiwan military aid to counter China, article with image","November 5, 2021"
